count,nR,rR,nL,rL
0,4,-0.2502423076340692,0,
1,12,-0.1928442686950681,6,0.38870049425304093
2,25,0.0868116561933979,16,0.08087510703886819
3,38,0.1185679185929952,23,0.16436561132969602
4,62,0.05255443919093513,22,0.10005345503129102
5,44,0.09420409732717117,33,0.07620265137680983
6,26,0.1363308544218265,16,0.006765208751967112
7,8,0.012498125447144612,8,0.0831223126857667
8,6,0.2109950837933918,1,-0.11535840143745386
