T,nR,keepR,rR,pfR,pR,nL,keepL,rL,pfL,pL
3,184,0.8177777777777778,0.09141029423952349,1.8362831059397433,0.07533333333333334,103,0.824,0.0888751068620028,1.7845652152816232,0.7463333333333333
4,146,0.6488888888888888,0.08434187146259249,1.856291115753791,0.259,80,0.64,0.06717158682754099,1.6785447392197261,0.8286666666666667
5,84,0.37333333333333335,0.1078040238535777,2.4499262421026233,0.19,58,0.464,0.054699154060601336,1.5910163572433598,0.8356666666666667
6,40,0.17777777777777778,0.12276394303262488,2.8672324337413273,0.21633333333333332,25,0.2,0.026314537603206144,1.3226344288474166,0.806
