feature,pass_sig,pass_all,lift
struct.excess,1.0,0.507957841126123,1.968667316529731
struct.pos_in_ch,0.96,0.5077456320294264,1.8907105043187515
mom.roc5,0.9485714285714286,0.5029921482634222,1.885857327686658
mom.macd_hist,0.9342857142857143,0.49760203720732826,1.877576144039056
mom.rsi14,0.8971428571428571,0.5032609464525712,1.782659400588729
mom.roc20,0.8971428571428571,0.5053688901464243,1.7752237516696394
ffd.price_z,0.8742857142857143,0.49673905354742875,1.7600502880578068
ffd.price,0.8285714285714286,0.6437716630119544,1.2870579371183701
ffd.cvd_z,0.8228571428571428,0.49874796632949,1.6498456102245744
trend.up_share20,0.8171428571428572,0.6328358208955224,1.2912398921832884
trend.di_diff,0.7828571428571428,0.4960741317111127,1.5781051516571265
volu.up_share20,0.7828571428571428,0.49982315908608616,1.5662682463305162
ffd.cvd,0.7828571428571428,0.6276579189361251,1.247267212344073
struct.range_atr,0.7685714285714286,0.49809719176628703,1.5430149803616062
trend.d_ema50,0.7628571428571429,0.5036853646459645,1.514550940731319
struct.body,0.7457142857142857,0.5042512555704888,1.4788545937691633
struct.close_pos,0.6942857142857143,0.49978071726674683,1.389180675242328
struct.d_hi55,0.6857142857142857,0.5076324538445215,1.3508086028012454
struct.gap_open,0.6828571428571428,0.6090825493386149,1.12112412939533
trend.align,0.6714285714285714,0.5950908962297518,1.1282790170080963
regime.chop48,0.6657142857142857,0.49888943906062105,1.3343924196266528
volu.z50,0.66,0.487826271486171,1.3529406646946234
regime.hmm_bear,0.6457142857142857,0.53548843460423,1.205841702615896
volu.vs_ma50,0.64,0.4901605715498338,1.3056945767310302
mom.rsi48,0.6371428571428571,0.5031902100870057,1.2662067829830987
volu.vs_tod,0.62,0.4826059277074344,1.2846920528830652
vol.atr_ratio50,0.6057142857142858,0.49780009903091177,1.2167821719872194
trend.d_ema200,0.58,0.5061469901676452,1.1459121782150543
vol.atr_pct,0.5714285714285714,0.5373134328358209,1.0634920634920635
mom.roc240,0.5685714285714286,0.5117068685010964,1.1111272167147204
mom.roc60,0.5628571428571428,0.5007993209308905,1.1239175440791307
vol.atr_rank250,0.5485714285714286,0.4972059135601613,1.1033083348576307
mom.tsmom96,0.5485714285714286,0.4964702553582797,1.1049431917639252
struct.upper_wick,0.5457142857142857,0.49673905354742875,1.0985934804543827
vol.vol_of_vol,0.5314285714285715,0.5279337907618307,1.0066197328678237
vol.rv_ratio,0.5314285714285715,0.4883780151375822,1.0881500701436393
vol.rv96,0.5228571428571429,0.5259248779797694,0.9941669708905756
regime.chop14,0.5171428571428571,0.5029780009903091,1.0281619794994195
regime.hmm_conf,0.5171428571428571,0.5647025535827969,0.9157792077648778
volu.trend20,0.5142857142857142,0.5031902100870057,1.0220503181029497
trend.slope200,0.5,0.5081417556765934,0.9839773929506097
vol.parkinson,0.49714285714285716,0.5209591851170687,0.954283696967816
regime.hmm_side,0.4542857142857143,0.4717691165027941,0.9629407657146285
regime.hmm_bull,0.4142857142857143,0.42672419891066,0.9708512321150321
regime.tod,0.4085714285714286,0.5089340029709274,0.8027984496739708
regime.hmm_edge,0.4,0.4213765296739054,0.949269766661071
trend.er60,0.3914285714285714,0.4944471953031053,0.7916488861639076
trend.r2_50,0.38857142857142857,0.5070665629199972,0.7663124666193691
trend.er20,0.3514285714285714,0.5028223809860649,0.6989119512528438
trend.adx14,0.34285714285714286,0.5088915611515881,0.673733205717304
struct.ch_width,0.33714285714285713,0.5033882719105892,0.6697471434192248
