tf,stop_atr,tp_r,block,n,n_signals,p_lower,p_upper,ambiguous,p_star,reach_t,reach_s,win,pf,pts,pf_theory_up,pf_theory_lo,hit_tp,hit_sl,flat,t_tp,t_sl
5,0.5,0.5,research,23075,23832,0.11459382343068143,0.9285414568647197,0.8139476334340382,0.7989280472562703,0.9285414568647197,0.8709718026183283,0.6392199349945829,0.5688303012047026,-1.3696599545819061,3.7932109356689505,0.03778144079924873,0.6440303358613217,0.3421018418201517,0.013867822318526544,0.0,1.0
5,0.5,0.5,locked,12391,12876,0.11758310034172104,0.9264523143833489,0.8088692140416278,0.7633002836121505,0.9264523143833489,0.8677384280832556,0.6294891453474296,0.6258104529052824,-1.7485868263421873,3.677171730696413,0.03889832882945497,0.6268259220401905,0.35897022032120085,0.014203857638608668,0.0,1.0
5,0.5,1.0,research,20670,23832,0.10469117153407184,0.8697129909365559,0.765021819402484,0.5991960354422027,0.8697129909365559,0.8709718026183283,0.4941944847605225,0.7278772927638779,-1.250462648195656,4.823325883139256,0.08449070918395722,0.4853410740203193,0.493807450411224,0.0208514755684567,1.0,1.0
5,0.5,1.0,locked,11058,12876,0.10857409133271202,0.8650201926063995,0.7564461012736875,0.5724752127091128,0.8650201926063995,0.8677384280832556,0.48417435340929643,0.7598779555939245,-1.5949153088670742,4.630514027035766,0.08800608745204705,0.4742268041237113,0.5047024778440947,0.021070718032193885,1.0,1.0
5,0.5,1.5,research,17903,23832,0.09789358845250085,0.8194444444444444,0.7215508559919436,0.47935682835376214,0.8194444444444444,0.8709718026183283,0.40144109925710775,0.7831392946590469,-1.1873683695411357,5.233733522800507,0.12514094389334357,0.3888175166173267,0.5862704574652293,0.024912025917444004,2.0,1.0
5,0.5,1.5,locked,9600,12876,0.10166200683442063,0.8117427772600186,0.710080770425598,0.4579801701672903,0.8117427772600186,0.8677384280832556,0.390625,0.788247651657114,-1.6791416682959648,4.972442077418204,0.13050340954980966,0.37635416666666666,0.598125,0.025520833333333333,3.0,1.0
5,0.5,2.0,research,15615,23832,0.09210305471634776,0.7752181940248406,0.6831151393084929,0.39946402362813516,0.7752181940248406,0.8709718026183283,0.33621517771373677,0.7951100826062676,-1.2536602309324034,5.462263341822153,0.16067463164379833,0.3203330131284022,0.6510406660262568,0.02862632084534102,4.0,2.0
5,0.5,2.0,locked,8405,12876,0.09389561975768872,0.7604069586828207,0.666511338925132,0.38165014180607526,0.7604069586828207,0.8677384280832556,0.3271861986912552,0.8008334320697447,-1.754675207516518,5.0266855192107265,0.16412583040013873,0.308982748364069,0.6618679357525282,0.029149315883402735,4.0,2.0
5,0.5,3.0,research,12518,23832,0.07968277945619336,0.6957452165156093,0.6160624370594159,0.29959801772110134,0.6957452165156093,0.8709718026183283,0.2585876338073175,0.816853048667775,-1.2555217123486924,5.591286156355638,0.21170242438165066,0.2344623741811791,0.7291899664483145,0.03634765937050647,8.0,2.0
5,0.5,3.0,locked,6704,12876,0.08092575333954645,0.6730351040695868,0.5921093507300403,0.2862376063545564,0.6730351040695868,0.8677384280832556,0.25507159904534604,0.825890724243139,-1.7005199184897646,5.033099246904688,0.21529555300265127,0.22911694510739858,0.7340393794749404,0.0368436754176611,8.0,2.0
