,vol.atr_pct,vol.atr_rank250,vol.atr_rank1000,vol.atr_tod,vol.rv96,vol.rv_ratio,vol.rv_tod,vol.parkinson,vol.garman_klass,vol.vol_of_vol,vol.range_tod
hmm.bear,0.1765278244053922,-0.05675504852548391,-0.046831476736062444,0.15897696137031822,0.2633787024833588,0.04256324408288135,-0.042695902642800695,0.22644270321743729,0.22383863237094515,0.013279318411842538,0.026313039739074246
hmm.side,-0.8794048954804858,-0.15452697814025834,-0.2987072582041435,-0.8464161273439539,-0.9754977146959943,-0.3573263962490822,-0.5421016224077109,-0.895181758374028,-0.888219412951388,0.05593814426814549,-0.6531032860820412
hmm.bull,0.8516989529618807,0.259592158768677,0.3818990796201806,0.785994711295416,0.8491273101493594,0.30500387256538763,0.6093033494709676,0.7917351135068539,0.7840426063153318,-0.06588426099006867,0.6780516432352669
hmm.edge,0.050745112885714365,0.10591779670829417,0.14682890215857253,0.05955936697959561,-0.024330273941371945,0.056530222896408945,0.18655637092134034,-0.008227939715359565,-0.008813024168590481,-0.04270792943722944,0.14537174422766477
hmm.conf,-0.1830693845657232,-0.11494510793373808,-0.11998889543346976,-0.10128583321368101,-0.1277768895937278,-0.05896498713111889,-0.06295555075358432,-0.11705517860806008,-0.11253599862874981,0.015385843763293662,-0.08793216152799666
hmm.entropy,0.17873574999445965,0.11651270729363286,0.12018033437569092,0.0965014481176451,0.12185450716535964,0.056703477560038185,0.06120500685174218,0.11186862192360969,0.10738168741906315,-0.014811319053591596,0.08522021045274517
hmm.sojourn,-0.20624176051566542,-0.08747164407745962,-0.11366786617709701,-0.16812213316134655,-0.23997411809587033,-0.15820594668166874,-0.056792455197821036,-0.23447260428210423,-0.22695767908624578,-0.18181794667986728,-0.10485379006749221
hmm.fwd12,0.03746681129480749,0.10058326470738828,0.13852086123446675,0.049855905387473684,-0.034170290287508655,0.05262176001908745,0.17571057357227932,-0.018063894279505797,-0.018569931275981336,-0.04143730581220773,0.1341931486934113
