dropped,n,ic,delta,sd,t
mom,30,0.04737424537996544,0.0051446394936018325,0.01037156352354162,1.2033636221465316
vol,29,0.039963465466877165,-0.00226614041948644,0.00837806816145578,-0.5440531247374629
ctx,36,0.03901813942494078,-0.00321146646142283,0.008845075377264646,-1.3471837785112932
str,29,0.03658527202019236,-0.005644333866171249,0.006614966069785425,-2.3515225487475067
hmm,34,0.033045058062202454,-0.00918454782416115,0.012177705232049883,-1.8665351574059719
ffd,36,0.02995877838669278,-0.012270827499670827,0.004730008584868766,-3.567926881461234
par,34,0.02544722344920988,-0.01678238243715373,0.006148787669028776,-6.257111571373153
