fam,n,ic,sd
par,4,0.07907514224598643,0.003332641590363706
vol,9,0.013235308059141786,0.004499264659255461
str,9,0.004088191010339335,0.0050417577548063815
ctx,2,-0.010657335572432897,0.0017029651262671485
hmm,4,-0.01577001897261374,0.006089162303431522
ffd,2,-0.03169297480770989,0.010040871695129844
mom,8,-0.056610063924787804,0.007459250161968083
