col,share_above_pop_median,lift,cv,inert
mom.roc4,1.0,2.0,0.44403137135123244,True
str.pos_in_ch,1.0,2.0,0.18969842186937513,True
str.excess,1.0,2.0,0.950621464760531,True
mom.roc16,0.999523241954708,1.999046483909416,0.4788976702138901,True
mom.rsi14,0.9963051251489868,1.9926102502979737,0.10185678351858438,True
mom.di_diff,0.9765196662693683,1.9530393325387365,0.5365758935417433,True
ffd.z250,0.969129916567342,1.938259833134684,0.6185541640256345,True
mom.d_ema50,0.9604290822407628,1.9208581644815257,0.5619709386993111,True
str.close_pos,0.9256257449344457,1.8512514898688914,0.21820945431160824,False
mom.macd_hist,0.9233611442193087,1.8467222884386174,0.7354944597552402,False
ffd.z1000,0.9141835518474374,1.8283671036948748,0.6690118437004311,False
par.up_share20,0.8773539928486294,1.7547079856972587,0.15468714418856772,False
mom.rsi48,0.8697258641239571,1.7394517282479143,0.1037953471355858,False
str.d_hi55,0.8405244338498212,1.6810488676996425,3.386776400675939,False
mom.roc48,0.8265792610250298,1.6531585220500595,1.193383186427666,False
mom.er20,0.8146603098927294,1.6293206197854588,0.46009844266732736,False
str.pos96,0.802264600715137,1.604529201430274,0.2731617794336837,False
vol.rv_tod,0.7979737783075089,1.5959475566150179,1.303096507080323,False
str.body,0.7698450536352801,1.5396901072705602,0.6211159305083653,False
mom.d_ema200,0.7638855780691299,1.5277711561382599,1.1534740832392554,False
mom.up_share20,0.7421930870083433,1.4843861740166866,0.15477162376214149,False
ffd.range,0.6694874851013111,1.3389749702026221,0.8873824431684777,False
vol.range_tod,0.6619785458879619,1.3239570917759238,0.9740102281630221,False
str.range_atr,0.636471990464839,1.272943980929678,0.4648873016426998,False
mom.roc192,0.6283671036948748,1.2567342073897496,1.9331654685357313,False
vol.garman_klass,0.6234803337306317,1.2469606674612634,0.8297049731477788,False
mom.er60,0.6215733015494637,1.2431466030989273,0.6830787726313267,False
vol.parkinson,0.6207389749702026,1.2414779499404052,0.8351204282324893,False
ffd.price,0.6,1.2,0.017099965624594596,False
hmm.bull,0.5858164481525626,1.1716328963051252,1.9986176500775688,False
ctx.mins_in_win,0.5516090584028606,1.1032181168057211,1.9788162424228875,False
hmm.entropy,0.5408820023837903,1.0817640047675805,2.138894183365836,False
par.z_tod,0.5293206197854589,1.0586412395709177,2.213900115018994,False
par.vs_tod,0.5293206197854589,1.0586412395709177,0.8181902436852245,False
vol.rv96,0.5252681764004767,1.0505363528009535,0.8259256096584278,False
hmm.bear,0.5201430274135876,1.0402860548271753,1.165354885819069,False
str.ch_width,0.5110846245530394,1.0221692491060788,0.37890244342503093,False
vol.vol_of_vol,0.5021454112038141,1.0042908224076281,0.7108123290255767,False
vol.atr_pct,0.4870083432657926,0.9740166865315852,0.8699858607932437,False
hmm.edge,0.48486293206197856,0.9697258641239571,3.2018389820368336,False
hmm.fwd12,0.48474374255065555,0.9694874851013111,1.376887497737932,False
vol.atr_tod,0.4827175208581645,0.965435041716329,0.7513176599156639,False
vol.rv_ratio,0.47103694874851015,0.9420738974970203,0.26005633301609093,False
hmm.sojourn,0.47044100119189514,0.9408820023837903,0.3808471088460405,False
hmm.side,0.4611442193087008,0.9222884386174016,1.1680037644541839,False
hmm.conf,0.45852205005959473,0.9170441001191895,0.0887384588932521,False
par.trend20,0.4578069129916567,0.9156138259833134,0.32699355543306396,False
vol.atr_rank250,0.4498212157330155,0.899642431466031,0.5480078325767705,False
vol.atr_rank1000,0.44553039332538735,0.8910607866507747,0.5652716939859489,False
ctx.dow,0.40488676996424317,0.8097735399284863,0.7597640426026082,False
str.gap_open,0.3779499404052443,0.7558998808104886,6.546198843517651,False
str.chop48,0.3741358760429082,0.7482717520858164,0.15924525679236398,False
str.upper_wick,0.36865315852205005,0.7373063170441001,0.8313541476023018,False
str.chop14,0.24529201430274136,0.4905840286054827,0.22054487689029154,False
par.per_range,0.24266984505363529,0.48533969010727057,0.30627772466546915,False
