block,arm,n_off,off,off_pf,n_on,kept,on,uplift,mde,mde_split,on_pf,tot_off,tot_on,rand_p
A_research,+ema34>89,697,2.5120086083213784,1.0941694002561213,540,0.7005600280014,1.6340740740740751,-0.8779345342473033,7.863316642984171,15.452493512595103,1.0632567022067438,1750.8700000000008,882.4000000000005,0.6975
A_research,+adx<=20,400,6.260000000000002,1.2362618543724953,291,0.7295763993948563,9.242646048109966,2.982646048109965,12.019590993521911,21.92112516596466,1.3743159740585074,2504.0000000000005,2689.61,0.0275
B_holdout,+ema34>89,330,2.178484848484846,1.0684470451803811,125,0.33829287392325763,3.848399999999968,1.6699151515151218,19.474477242200646,24.55658351301803,1.1263829082912742,718.8999999999992,481.049999999996,0.2625
B_holdout,+adx<=20,157,4.59598726114649,1.1446736587155666,57,0.3858885017421603,5.869649122806995,1.2736618616605044,29.111793766675785,36.648304350973035,1.201628358262923,721.5699999999989,334.5699999999987,0.4275
C_forward,+ema34>89,183,6.5460655737704165,1.1898107802344386,42,0.12410714285714286,14.969523809523675,8.423458235753259,39.03549869211825,43.862081885728,1.47235244620747,1197.9299999999862,628.7199999999943,0.3925
C_forward,+adx<=20,76,6.382368421052614,1.1840283178857187,26,0.18773234200743494,15.083076923076815,8.700708502024202,50.790354269619726,61.147658310014236,1.4687320711417065,485.05999999999864,392.1599999999972,0.2625
