block,arm,n_off,off,n_on,kept,on,uplift,mde_split,pf,tot_off,tot_on,rand_p
A_research,+ema34>89,697,2.5120086083213784,540,0.7000350017500875,1.511851851851853,-1.0001567564695255,15.403849508049996,1.0583067891271118,1750.8700000000008,816.4000000000005,0.76
A_research,+adx<=20,400,6.260000000000002,283,0.7000756429652042,9.225901060070672,2.965901060070671,21.692697891127228,1.3716652787564325,2504.0000000000005,2610.9300000000003,0.035
B_holdout,+ema34>89,330,2.178484848484846,254,0.7000783085356304,1.343070866141717,-0.835413982343129,28.424866362440333,1.0425280994125794,718.8999999999992,341.1399999999961,0.63
B_holdout,+adx<=20,157,4.59598726114649,120,0.6994773519163763,-1.0091666666666905,-5.605153927813181,45.97023943019279,0.9691039113784853,721.5699999999989,-121.10000000000286,0.9425
C_forward,+ema34>89,183,6.5460655737704165,145,0.7,5.108620689655094,-1.4374448841153225,41.774124431874135,1.1465027233783314,1197.9299999999862,740.7499999999886,0.7925
C_forward,+adx<=20,76,6.382368421052614,57,0.6988847583643123,4.778421052631608,-1.6039473684210055,64.4688599839009,1.1356214926978414,485.05999999999864,272.37000000000165,0.48
