col,A,B,C,dB,dC,m
ffd.price,0.7213938608353547,0.7447831842607189,0.7612014434107056,1.8960508474346394,3.2269937570946783,3.2269937570946783
par.z_tod,0.2514309498100913,-0.7866719605906385,0.09582540628046479,-1.8649347861529404,-0.27954279690306905,1.8649347861529404
par.per_range,0.8943638330912035,0.5378602327483051,1.052168401223175,-1.3014703530392335,0.5760894610892582,1.3014703530392335
hmm.sojourn,4.146449440755585,3.6692548398400784,3.5235621553458065,-0.30218192539649624,-0.3944413429007999,0.3944413429007999
par.up_share20,0.6030455158875503,0.6206004498253286,0.6291231710575075,0.18818928201877538,0.2795530430682176,0.2795530430682176
hmm.edge,-0.21602351710995896,-0.3526927921717151,-0.3692085192044113,-0.19759246100069866,-0.22147041856015445,0.22147041856015445
hmm.side,0.4134400959811795,0.5039579953248083,0.47233748715609875,0.18744662762731581,0.12196612417920094,0.18744662762731581
par.trend20,0.9434524337433662,0.9250281901146905,0.8971727427039669,-0.05972146672727045,-0.15001381246696588,0.15001381246696588
hmm.entropy,0.08022465185038939,0.10138116862487821,0.10235663593004991,0.12329544322612526,0.12898024829237156,0.12898024829237156
ffd.z1000,1.457954537587082,1.3806688876670021,1.4504022725109325,-0.07923573215414471,-0.007742824875635898,0.07923573215414471
