arm,n,pts,pf,win,sd,mde,ctl_med,ctl_p,boot_p
base,1054,0.9557305502846313,1.0343687915241797,0.3956356736242884,68.71107017133899,5.930270974378595,-1.8563236550333304,0.0825,0.311
+adx<=20,400,6.260000000000002,1.2362618543724953,0.4275,73.23935080450717,10.260833047711454,-1.3773973727421995,0.005,0.0375
+ema align,668,2.7938323353293435,1.1056426564745667,0.4116766467065868,67.35899599098383,7.302566238121389,-1.8185468092655468,0.0225,0.149
+both,227,6.613083700440531,1.2528256508975895,0.41409691629955947,71.28770909718465,13.257751083212147,-2.3186630036630027,0.03,0.0695
conventional,368,1.4192391304347836,1.053838137168292,0.41032608695652173,65.4335757080202,9.55751251074116,-1.881981041929441,0.205,0.3645
