gate,keep,n,pts,pf
filtered (causal),0.75,340,8.162941176470591,1.2985045731838483
smoothed (LEAKY),0.75,344,7.547209302325584,1.2752925508226205
filtered (causal),0.5,259,10.262123552123557,1.359844900158538
smoothed (LEAKY),0.5,251,12.27573705179283,1.427460191060711
filtered (causal),0.25,141,21.908581560283693,1.8545539547647503
smoothed (LEAKY),0.25,138,26.507101449275368,2.0097692534899063
