cfg,A_n,A_ppt,A_win,A_pf,A_tot,B_n,B_ppt,B_win,B_pf,B_tot
"defaults: LinReg13 x EMA48, both, opp cross+reverse, 2N stop",5607,-1.453841367722115,0.24023542001070092,0.9235952662713871,-8151.688548817899,2492,1.9248616233288875,0.25280898876404495,1.068988881274487,4796.755165335588
EMA13 x LinReg48,5432,-2.269117748415635,0.3483063328424153,0.8812665364759393,-12325.847609393728,2646,-1.738696336384415,0.3435374149659864,0.9388615735219454,-4600.590506073162
EMA13 x EMA48,3339,-1.1121163763591368,0.22731356693620844,0.9539677980571425,-3713.3565806631577,1560,0.3604898303671663,0.22179487179487178,1.0100738511384753,562.3641353727794
long only,2804,-0.6784169742060433,0.26640513552068473,0.9632101435320474,-1902.2811956737453,1246,7.464864376433133,0.27768860353130015,1.2817101528158117,9301.221013035683
"opp-cross exit, no reverse",3483,-1.9010392082419671,0.2523686477174849,0.907430427764109,-6621.319562306771,1536,4.406101069326698,0.2591145833333333,1.144533724651113,6767.771242485807
"stop/target only, 3N target",2832,-1.6328634112327163,0.4050141242937853,0.937280514666722,-4624.269180611052,1208,1.3132150863569823,0.42135761589403975,1.0328980170233946,1586.3638243192345
window 09:30-16:00 + flat 16:00,1853,1.2969173886893175,0.3896384241770103,1.061698699550161,2403.1879212413055,798,1.552044903007247,0.40476190476190477,1.0477296042155517,1238.531832599783
"+ 09:00 range, cross closes beyond",1812,-1.4607318953001296,0.3129139072847682,0.9351238401075315,-2646.846194283835,786,5.324352169152673,0.30916030534351147,1.1539990144997043,4184.940804954002
"+ fresh cross <=30 min, range close",2038,-0.3273801775149776,0.3125613346418057,0.9856020685730534,-667.2008017755244,887,7.37357307622213,0.31228861330326946,1.2162832563536936,6540.359318609029
+ breakeven 50 / secure 5,5607,-1.1103323529111504,0.3233458177278402,0.9267094316773572,-6225.63350277282,2492,0.5788264289127846,0.41653290529695025,1.028057491034204,1442.4354608506592
