tag,n,pf,pts,R,win,hit_tp,hit_sl,flat,t_tp_mean,t_tp_med,t_tp_p25,t_tp_p75,t_sl_mean,t_sl_med,t_sl_p25,t_sl_p75,c_pf,c_pts,p_pts,tf,block,t_flat_mean,t_flat_med,t_flat_p25,t_flat_p75
5m 07:00-11:00 research,65,1.5031472919637179,3.778789655253608,0.2312372452944287,07:00-11:00,0.4461538461538462,0.5538461538461539,0.0,43.06896551724138,38.0,18.0,60.0,29.25,19.0,8.0,43.0,0.9451300014220227,-1.1116797523743263,0.09166666666666666,5,research,,,,
5m 07:00-11:00 locked,38,0.5550587458249042,-6.248871802171124,-0.36690577987536477,07:00-11:00,0.23684210526315788,0.7631578947368421,0.0,46.111111111111114,46.0,26.0,68.0,34.51724137931034,25.0,14.0,42.0,0.8697273713420574,-4.027343061145792,0.55,5,locked,,,,
15m 07:00-11:00 research,216,1.369456056616753,4.953073012266312,0.1720915665789697,07:00-11:00,0.4027777777777778,0.5787037037037037,0.018518518518518517,81.67816091954023,76.0,59.0,109.0,68.864,63.0,37.0,85.0,0.9189259415301694,-1.673197422292574,0.03333333333333333,15,research,101.25,90.0,11.25,180.0
15m 07:00-11:00 locked,124,0.7979747013310103,-4.511312879527084,-0.11317440719375152,07:00-11:00,0.29838709677419356,0.6774193548387096,0.024193548387096774,105.83783783783784,110.0,76.0,123.0,62.44047619047619,53.0,31.0,84.75,0.8678409695441827,-4.100255223386224,0.55,15,locked,190.0,180.0,172.5,202.5
15m 09:30-11:00 research,107,0.8284048992529897,-1.4705525738985425,-0.04403207657360308,09:30-11:00,0.0,0.07476635514018691,0.9252336448598131,,,,,9.875,9.5,7.75,12.0,0.9052139976457731,-2.0314892644436875,0.44166666666666665,15,research,6.818181818181818,0.0,0.0,15.0
15m 09:30-11:00 locked,62,0.3405866112305563,-10.229222390971241,-0.11204589355455684,09:30-11:00,0.0,0.0967741935483871,0.9032258064516129,,,,,12.0,9.5,6.25,14.25,0.8826502314571563,-3.7878362787707345,0.7833333333333333,15,locked,4.553571428571429,0.0,0.0,3.75
