tf,win,hz,bars,mfe_pts,mfe_pts_med,mae_pts,mae_pts_med,atr_pts,mfe_atr,mae_atr
5,07:00-11:00,30,36712,33.09536391370669,21.75,35.40143549792983,21.999999999999996,15.150008662558854,1.9149225726688623,2.03625890950331
5,07:00-11:00,90,36712,59.256973196774894,42.75,63.928054859446505,42.5,15.150008662558854,3.681616151471845,3.9534925353756893
5,09:30-11:00,30,13752,42.87007344386271,33.0,46.79592059336824,32.75,24.079017846946044,1.6472111937995642,1.840023745153964
5,09:30-11:00,90,13752,62.1337260034904,48.0,68.89152486910994,46.50000000000001,24.079017846946044,2.3946868536333334,2.7072559507191385
15,07:00-11:00,30,12239,38.654342675055155,25.75,41.03525614837814,26.0,22.73239313434695,1.5243636793292414,1.6162001140161404
15,07:00-11:00,90,12239,63.24064466051148,46.25,67.74301413514176,44.75,22.73239313434695,2.6037388640545975,2.7848526092947457
15,09:30-11:00,30,4585,46.6763358778626,35.75,50.360959651035984,35.0,30.1921619125717,1.400675014453632,1.5431139329701584
15,09:30-11:00,90,4585,63.55229007633588,49.25,69.35076335877862,46.0,30.1921619125717,1.9112020644889027,2.109432435838053
