fset,k,cv_ic,cv_lift,cv_p,lock_lift,lock_p,us30_lift,us30_p
bo only (breakout context),6,-0.07837482331248406,0.0220274489512274,0.307,0.005871357766505908,0.4605,0.036426967242600555,0.168
rp only (risk premia),20,0.09435760124379294,0.10469660197421388,0.006,0.022112376269765838,0.3745,0.06722656247683922,0.034
pead only,9,0.07141049625426306,0.08917141851384586,0.0225,0.03872627927575201,0.27,-0.04344440100147173,0.891
news only (release clock),4,0.1918765277546007,0.10567829231058967,0.009,0.044271326296257685,0.2295,0.0400652011082835,0.135
bo + rp,26,0.03949084083494901,0.08365160326834642,0.0375,-0.031409207485029095,0.68,0.06309533886882615,0.0395
bo + pead,15,0.0194048552919399,0.020364885059464537,0.326,0.053910142847406944,0.1865,-0.022608578857611084,0.7185
bo + news,10,0.10557347653750712,0.053954843215738076,0.115,0.022527835998105927,0.3445,0.07308393201290048,0.0255
ALL FOUR,39,0.08700999951187172,0.12203613739135866,0.003,0.07737941082599795,0.1175,0.03759119299969557,0.1585
everything EXCEPT bo,33,0.11699472782188007,0.15221765471984483,0.0,0.06920415755106835,0.136,0.03521038405110591,0.1635
