arm,block,n,pf,pts,dd,ret_dd,win,pct,tot
"all hours, no flatten",block A,208,1.1455399528894763,2275.6547369646287,3047.0475570927665,0.7468392581098618,34.61538461538461,0.0533371568427677,11.094128623295681
"all hours, no flatten",block B,142,1.1012002726012209,1443.2614672044765,2947.4862931099015,0.48965841523275994,31.690140845070424,0.019549398775778853,2.776014626160597
"07:00-11:00, NO flatten",block A,83,1.4100311314041996,2238.6333099933036,1455.8371363673832,1.5376948795104648,37.34939759036144,0.10292685451244447,8.542928924532891
"07:00-11:00, NO flatten",block B,65,1.1777389345798777,1012.5215570874461,1586.7348792034645,0.6381164051777374,36.92307692307693,0.030635991596358138,1.991339453763279
"all hours, flatten 11:00",block A,113,1.226249389277153,1160.593061912994,1063.1388559918414,1.0916664886923297,45.13274336283185,0.05152026192383264,5.821789597393089
"all hours, flatten 11:00",block B,77,1.0104225697617972,42.948816679170704,1730.0365419221562,0.024825381220822333,44.15584415584416,0.0012221193055967007,0.09410318653094596
07:00-11:00 + flatten,block A,88,0.9651394892611684,-121.22119278339596,781.2743634099534,-0.1551582881259708,42.04545454545455,-0.0031869466706906354,-0.2804513070207759
07:00-11:00 + flatten,block B,73,0.8825881380372687,-444.5507504705456,1861.4950248355308,-0.23881382681096508,41.0958904109589,-0.01643813132171566,-1.199983586485243
