block,n,obs,ent,p_ent,fil,p_fil,always
block A,208,10.940647773868408,20.948114963548182,0.87,22.81053817320697,0.76,15.124378109452737
block B,142,10.1638131493273,10.740963161041703,0.5075,14.599017966356127,0.595,29.546212121212
