leg,block,n,mean,p5,p95,p_le0,real_dd,p99
US30 60m gate ON,block A,208,11.259592812965845,-15.333545209687994,39.038643714287474,0.244,3047.0475570927665,5142.658878300106
US30 60m gate ON,block B,142,11.191295249256356,-30.487481216608234,57.017773135160006,0.355,2947.4862931099015,5575.551142231098
US30 60m gate OFF,block A,568,22.06525651254636,1.7426728179084385,41.64500337629418,0.037,5449.78149353978,7967.695861254843
US30 60m gate OFF,block B,353,13.86465828128387,-13.661575334581375,42.03152271049267,0.218,3733.4924087790787,8573.109134515948
US30 60m 07-11 + flatten,block A,88,-1.8686940181478913,-20.304052338586377,17.341185664899076,0.568,781.2743634099534,1798.5264043857908
US30 60m 07-11 + flatten,block B,73,-5.509570433088536,-29.084964311900578,19.064299286932105,0.651,1861.4950248355308,2088.339928978015
