tf,ent,exN,block,n,pf,pts,dd,ret_dd,win,pct,tot,cost_stop
60,20,20,block A,208,1.1455399528894763,2275.6547369646287,3047.0475570927665,0.7468392581098618,34.61538461538461,0.0533371568427677,11.094128623295681,2.191929112169015
60,20,20,block B,142,1.1012002726012209,1443.2614672044765,2947.4862931099015,0.48965841523275994,31.690140845070424,0.019549398775778853,2.776014626160597,2.191929112169015
60,10,10,block A,351,1.0936282458817557,1905.0321803200277,2366.7623313819386,0.8049106389181421,38.74643874643874,0.018027238289375063,6.327560639570647,2.346498622535983
60,10,10,block B,236,0.943060709011747,-1011.0269745578262,3504.570099738972,-0.28848815854279236,30.08474576271186,-0.01734714514348046,-4.0939262538613885,2.346498622535983
240,20,20,block A,31,1.2417357000342581,996.5446338067231,2021.4772546870663,0.4929784055180936,32.25806451612903,0.1951425633265061,6.049419463121689,1.1294608231402994
240,20,20,block B,26,1.6738895502707678,3041.0769241088346,1278.3844172784375,2.3788438618353993,38.46153846153847,0.3323243561295564,8.640433259368466,1.1294608231402994
240,10,10,block A,56,0.9187911547755901,-598.5630334877933,3254.208518856034,-0.1839350582544135,30.357142857142854,-0.003420357227737655,-0.19154000475330868,1.1092867694618664
240,10,10,block B,40,1.6389408845789055,3290.488810757466,1620.1162904241282,2.031020137385356,42.5,0.24775178580352414,9.910071432140965,1.1092867694618664
