cfg,block,m_n,m_per_yr,m_pf,m_pts,m_dd,m_ret_dd,m_pct,m_tot,m_winrate,tf,ent,exn,stop,tp,piv,win,sess,sh,eh,flat
incumbent 30m as shipped,research,158,82.20726495726495,1.7843255795653203,3740.88003811848,373.2389886883443,10.022747224947944,0.11926008127089001,18.843092840800622,35.44303797468354,30,20,20,2.0,0.0,90,600,False,7,11,False
incumbent 30m as shipped,locked,87,84.06547619047619,1.6110867389743122,2708.7019112425583,1563.4083160862515,1.7325620462499332,0.13836748133879642,12.037970876475288,40.229885057471265,30,20,20,2.0,0.0,90,600,False,7,11,False
incumbent 15m as shipped,research,225,117.0673076923077,1.570288817050087,2966.5580149970056,398.9922914954315,7.435126137094739,0.06966526706680078,15.674685090030174,32.0,15,20,20,2.0,0.0,90,600,False,7,11,False
incumbent 15m as shipped,locked,125,120.78373015873015,1.8689574945511114,2870.307665918801,348.5702052671427,8.234518104377308,0.1022427254794114,12.780340684926426,39.2,15,20,20,2.0,0.0,90,600,False,7,11,False
your config 30m,research,76,39.54273504273504,1.3225059675963602,635.0839330711777,268.20780612604767,2.367880123417109,0.044023157743320204,3.3457599884923357,46.05263157894737,30,20,20,2.0,0.0,90,600,True,7,11,True
your config 30m,locked,39,37.68452380952381,1.5979366629657907,690.1315751741256,319.37028143646137,2.1609135705114975,0.07199185923987558,2.8076825103551477,48.717948717948715,30,20,20,2.0,0.0,90,600,True,7,11,True
your config 15m,research,87,45.26602564102564,1.151352606919311,337.0120056835814,438.04008004368904,0.7693634008330211,0.017057249776176155,1.4839807305273254,35.63218390804598,15,20,20,2.0,0.0,90,600,True,7,11,True
your config 15m,locked,45,43.482142857142854,1.8594817500288603,827.8884946869197,194.1170410075788,4.264893439492502,0.07963168847510567,3.583425981379755,46.666666666666664,15,20,20,2.0,0.0,90,600,True,7,11,True
Optuna PF optimum,research,87,45.26602564102564,2.4718533425720612,3838.4901972989064,631.6793846711499,6.076643136450006,0.22571045995932926,19.636810016461645,44.827586206896555,15,50,47,3.620844600152826,0.0,120,450,False,8,20,False
Optuna PF optimum,locked,52,50.24603174603175,0.6043827119103483,-1319.9293508029932,1863.648055214354,-0.7082503303721566,-0.12021486156504421,-6.251172801382299,28.846153846153843,15,50,47,3.620844600152826,0.0,120,450,False,8,20,False
Optuna RETDD optimum,research,116,60.35470085470085,2.5055600814043975,4358.953101137076,206.6464856458632,21.093768362493016,0.19952987684048204,23.145465713495916,41.37931034482759,30,18,13,1.500377317764891,0.0,60,150,False,12,16,True
Optuna RETDD optimum,locked,70,67.63888888888889,0.9096710639623645,-292.52134825029407,1742.0816318820625,-0.16791483412534913,-0.0303457886459019,-2.124205205213133,30.0,30,18,13,1.500377317764891,0.0,60,150,False,12,16,True
