kind,tf,ent,exn,stop,tp,piv,win,sess,sh,eh,flat,r_pf,r_retdd,r_n,r_pyr,r_tot,r_dd,l_pf,l_retdd,l_tot,l_n
PF,15,33,39,2.2606108137631824,6.0,60,1200,True,5,10,True,0.9281005208502924,-0.42820796894538604,204,106.14102564102564,-2.127219896604912,779.6964918456238,1.238298766780667,0.8046768708886741,2.614612370185202,101
PF,30,30,44,3.1535475380196365,6.0,45,600,True,5,14,True,1.2749726248900686,2.7032292778377474,154,80.12606837606837,7.264640949743844,543.4616956825869,1.4903508757895298,1.4411745319015143,7.655748387382385,79
PF,15,50,43,3.202638961916059,0.0,120,450,True,7,17,True,1.9192664253187863,2.702861864390367,79,41.10363247863248,9.3886540105721,695.4759359733963,1.4841975494543855,2.1784946925150774,3.2788178227365954,44
PF,30,37,17,3.1388887606991043,8.0,45,1200,True,4,20,True,1.1938618580256208,1.1984552042701428,241,125.39209401709401,9.282968612772198,1387.1097661125455,1.3685396266434169,1.0567360067463356,10.413234205541226,128
PF,30,28,10,2.841910987670091,4.0,90,600,False,10,12,False,1.5496297142989621,6.279045724552257,166,86.36965811965811,14.099852414325435,426.2862316053206,1.467492580598065,1.7089278546220894,7.790079014966847,92
PF,15,29,36,2.4115601476456074,6.0,45,150,False,6,13,True,1.399965072825828,1.9749500429854876,178,92.61324786324786,13.532899097852063,1115.2044702467579,1.479064133067579,2.7820473875090896,6.998508081141748,91
PF,15,10,39,2.50650934910702,6.0,60,450,False,12,11,False,1.332504764658945,4.8693478873756595,375,195.11217948717947,18.32837672549814,683.3673863706099,1.4358494184494979,6.837955444690911,16.26219012054989,197
PF,30,21,20,2.3708112678021753,4.0,90,900,False,11,14,False,1.290677419342011,2.3076046647083626,235,122.27029914529913,12.562563165855352,971.9814358569715,1.4682554007252298,3.0856121164216566,11.08150060284682,117
PF,15,26,46,3.522756281364083,0.0,120,300,True,7,19,True,1.8236732238430309,3.1865373823667973,78,40.58333333333333,8.956278120612273,550.8482021278761,1.0488745712416556,0.13777950424714436,0.362882230960029,47
PF,15,10,40,2.8833485530632266,0.0,30,300,True,8,19,True,1.0664572276555804,0.699528824713911,311,161.81303418803418,3.544424308501283,1001.6712331373276,1.5757011236377962,4.062194390454395,15.183292106670198,147
PF,15,58,36,2.269241474110531,8.0,120,900,True,4,17,True,1.4054958093821808,2.8297173544641367,150,78.0448717948718,9.471336550765926,605.0529204315803,1.2316580152393553,0.8428199764285885,2.4333381350876584,70
