cand,engine_usd,script_usd,n_engine,n_script,engine_pf,script_pf,exit_match
TOP,39.58587978447271,40.381546326662026,142,142,1.526114082797519,1.5372109889554169,0.1267605633802817
CONSENSUS,50.587798231728385,51.3139694551411,179,179,1.6663389484882714,1.677158965066974,0.15083798882681565
BRIEF,44.14893845103499,45.78294411415944,322,320,1.5315592656881107,1.546831416965578,0.5625
