mkt,cand,pf,usd,n,p_ctrl,abl_pf,abl_usd
US30L,TOP (best research PF),1.0271986636344022,13.227412351859437,130,0.6059850374064838,1.15417167864165,65.65626305718055
US30L,CONSENSUS (top-100 mode),1.058345564844244,26.521526149924835,169,0.5610972568578554,1.15417167864165,65.65626305718055
US30L,THE BRIEF (EMA 13/48 fixed),1.2485918228570856,97.60806255201167,311,0.32418952618453867,1.2795949890599296,108.97594581417543
US100L,TOP (best research PF),1.526114082797519,39.58587978447271,142,0.06982543640897755,1.1751776245269387,14.288018693687762
US100L,CONSENSUS (top-100 mode),1.6663389484882714,50.587798231728385,179,0.034912718204488775,1.1751776245269387,14.288018693687762
US100L,THE BRIEF (EMA 13/48 fixed),1.5315592656881107,44.14893845103499,322,0.04488778054862843,1.333818694277397,27.74012001791823
