defn,tf,block,fill,n,R,usd,net,pf,win,avg_w,avg_l,dd,retdd,sharpe,sortino,p90,p10
wick,5,train,0.7939743021710235,1088,-0.18609694814004643,-3.701607727022646,-4027.349207000639,0.8749469296492944,0.4163602941176471,62.20258576746926,-50.71672529080979,5268.9999118591,-0.7643479359216082,-1.1672540443566894,-1.8092511495156005,86.69428112662841,-82.64379123948848
wick,15,train,0.6195797943674564,846,-0.07833018201979083,1.9746231523089852,1670.5311868534016,1.0548144425824215,0.44799054373522457,84.81964361209717,-65.25934420156621,1825.9419328826223,0.9148873558186633,0.47157989167187686,0.7672027306637516,128.46742296777273,-105.7773285968945
close,5,train,0.7743634767339772,1068,-0.1276699342037791,-2.174498229813891,-2322.3641094412355,0.9292083198063172,0.43164794007490637,66.12417327834952,-54.045482686590375,3490.3521075598596,-0.6653667131207641,-0.6518725202374686,-1.009327124588256,94.85725646606487,-82.69820349265348
close,15,train,0.5923595505617978,802,-0.04238001584189585,-2.366046202255372,-1897.5690542088082,0.9439876792250026,0.4488778054862843,88.83371962073261,-76.64639845627273,3583.2318991833813,-0.5295691452850887,-0.5171627538277956,-0.8155036131905428,141.04107663377042,-125.03531020675901
pen_only,5,train,0.8153921091086215,1023,-0.23697403445932827,-4.567995832135487,-4673.059736274604,0.8437723596271612,0.3978494623655914,62.0118010115843,-48.55821874673607,5481.59183650496,-0.8525004917648387,-1.437785124157262,-2.1422102763042634,79.61712480467077,-79.3729768982
pen_only,15,train,0.6334310850439883,803,-0.08800673984193054,1.8054890891638835,1449.8077385985985,1.0504088026565417,0.44831880448318806,83.91891949902386,-64.92325797076748,1940.0722632908776,0.7472957404892433,0.3864652305114522,0.5724616498103463,135.81199871846604,-105.7941364999194
displace,5,train,0.7623931623931623,1070,-0.17546001600930503,-4.811840775528224,-5148.6696298152,0.838492224098768,0.41869158878504675,59.665407983392484,-51.252045669413235,6151.113463614354,-0.8370305084227588,-1.5186258061020703,-2.338903067745483,73.70609456080325,-84.07605784262297
displace,15,train,0.6021834061135372,842,-0.134818662401665,1.3067965965152253,1100.3227342658197,1.0366924865988372,0.42874109263657956,86.1163652374648,-62.34445970157791,1628.4043576693848,0.6757060855822263,0.2958757606651094,0.47487480322641484,124.4960308727456,-102.98775338871228
