sweep_bar,inv_bar_1m,gap_bars,level,src,side,pen_atr,sweep_ext,atr,zlo,zhi,tf,defn
247961,248009,3,17658.75,240m,1,3.5783554127816597,17645.0,3.8425473196110893,17650.75,17668.75,15,close
248235,248309,4,17531.25,london,1,1.3833220840011926,17513.75,12.650705285772704,17591.25,17612.25,15,close
249411,249464,3,17601.5,asia,1,4.057799633130635,17583.25,4.497511373157657,17592.0,17604.25,15,close
252373,252389,1,17742.25,london,1,0.47985011255035437,17738.75,7.293944313981417,17766.0,17773.5,15,close
253375,253379,0,17667.75,60m,1,4.731929873853757,17644.75,4.860596123177211,17651.5,17652.5,15,close
253564,253604,2,17618.25,asia,1,1.5358597080778311,17612.5,3.743831529506218,17617.0,17626.5,15,close
253693,253844,10,17604.0,prevday,1,2.2173543074937814,17557.0,21.196432090784306,17697.25,17708.0,15,close
255156,255194,2,17717.25,60m,1,0.643888219117108,17706.0,17.471976759298173,17723.75,17733.5,15,close
257805,257894,5,17507.75,240m,1,1.8975227303888773,17499.25,4.47952473183708,17500.75,17524.25,15,close
257880,257894,0,17530.5,asia,1,3.422201087970195,17512.25,5.332825141150486,17500.75,17524.25,15,close
259562,259589,1,17530.5,60m,1,1.0716258406900452,17523.75,6.2988402702696265,17527.5,17533.25,15,close
260740,260804,4,17515.25,london,1,0.3292601016012538,17512.5,8.352059622852064,17500.0,17507.0,15,close
262054,262214,10,17093.25,london,1,0.22559876927672587,17089.5,16.622431106439873,17096.75,17097.5,15,close
262486,262679,12,17021.5,prevday,1,4.113807457202866,17005.0,4.01088290389239,17002.75,17004.0,15,close
263023,263039,1,17070.0,60m,1,5.175106413368984,17043.0,5.217284021493783,17064.0,17067.0,15,close
264497,264539,2,16987.25,60m,1,0.9005534338178396,16978.75,9.438640374691355,17000.5,17005.0,15,close
264768,264809,2,16948.0,60m,1,0.9511432646139409,16939.0,9.462296937625906,16992.25,16997.75,15,close
265801,265829,1,16973.5,asia,1,1.644048395036656,16962.5,6.690800607335371,16971.5,16973.0,15,close
266190,266354,10,16933.5,prevday,1,0.20174173470145956,16930.25,16.109705831613862,16904.25,16906.75,15,close
267585,267614,1,16884.75,london,1,0.33833772965275255,16880.25,13.300319785849783,16895.25,16902.25,15,close
267715,267749,2,16817.25,60m,1,2.2235049733570573,16797.25,8.994807855007364,16816.5,16823.75,15,close
