defn,tf,entry,stop,atr_p,stop_k,tp_r,fill,n,R,usd,net,pf,win,avg_w,avg_l,dd,retdd,sharpe,sortino,p90,p10
wick,5,edge,atr,14,0.5,0.75,0.8444838280903855,1165,-0.2247362526965039,0.19356300305908156,225.50089856383002,1.0431412965740559,0.5313304721030043,8.80861387895785,-9.573317019251057,429.34303737950336,0.5252231407784682,0.35026113618051585,0.6277359525315689,13.195714731454503,-15.972987778982787
wick,5,edge,atr,14,0.5,1.0,0.8444838280903855,1165,-0.2179145584602881,0.29451762229678974,343.11302997576,1.0603285257383688,0.5605150214592275,9.235103404064704,-11.108221665778299,462.70830742427233,0.7415320288622969,0.5081401778755493,0.9178652454483613,15.18,-16.546128791770315
wick,5,edge,atr,14,0.5,1.25,0.8444838280903855,1165,-0.2663172733195182,-0.11637163165756745,-135.57295088106608,0.979619201423838,0.5433476394849786,10.29450410744275,-12.503748215963018,717.0533810969246,-0.18906953715729094,-0.1934338953994001,-0.3591821321816448,16.660336292611905,-17.697737756082205
wick,5,edge,atr,14,0.5,1.5,0.8444838280903855,1165,-0.32748574349298687,-0.6504950365947605,-757.8267176328959,0.9008070945992471,0.5090128755364807,11.60556814508651,-13.35651857984125,1105.3426298610832,-0.6856034474379566,-1.0478149577049602,-1.9747436276239319,19.436210019291032,-18.616212944711442
wick,5,edge,atr,14,0.5,2.0,0.8444838280903855,1165,-0.4479536879074921,-1.862347766863915,-2169.635148396461,0.7697747174679973,0.4274678111587983,14.566928666212279,-14.128883994258132,2512.0517832164583,-0.8636904553051994,-2.724041368541011,-4.83225527951296,23.028579722750596,-19.85177397948748
wick,5,edge,atr,14,0.75,0.75,0.8444838280903855,1165,-0.0751019375525489,1.4237825111430897,1658.7066254816996,1.288787170149558,0.6420600858369099,9.896264413884744,-13.773858887539772,255.10105587507235,6.502155076512104,2.265916058957775,3.908751940702873,18.18,-19.144273670761613
wick,5,edge,atr,14,0.75,1.0,0.8444838280903855,1165,-0.16720135555803625,0.22604211333986932,263.33906204094774,1.0331628813794647,0.5965665236051502,11.804484250983903,-16.89527126041035,635.6413384329205,0.4142887602152672,0.32850286608316476,0.5956459316227218,20.811022236531137,-22.6624713516928
wick,5,edge,atr,14,0.75,1.25,0.8444838280903855,1165,-0.2609535196798195,-1.2947433192129278,-1508.375966883061,0.8505413921191014,0.527038626609442,13.980276274811207,-18.316271505657244,2077.549115614757,-0.7260362489368755,-1.6528248989342538,-2.6823306210127664,23.8091283806786,-25.308646082163904
wick,5,edge,atr,14,0.75,1.5,0.8444838280903855,1165,-0.34192788495887405,-2.5261337125492647,-2942.9457751198934,0.7505059857594453,0.4660944206008584,16.303335290779057,-18.96407851770566,3239.0647156357136,-0.9085788749183104,-2.9615081996511106,-4.530384868468199,26.84839707965557,-26.88284858140425
wick,5,edge,atr,14,0.75,2.0,0.8444838280903855,1165,-0.45518411754871196,-3.892114422102246,-4534.313301749116,0.6769277147079129,0.3630901287553648,22.460206710156076,-18.915068382944927,4838.81517243201,-0.9370709853896219,-4.000203211983882,-6.987935168800694,30.77244100590589,-28.276728695357743
