feed,cell,feat,fam,n,ic,ic_shuffled
US30,LONG,anm.ae_err,anm,712,-0.1134,-0.0035
US30,LONG,anm.ae_pct,anm,710,-0.0651,0.0019
US30,LONG,anm.mahal,anm,712,-0.0569,-0.0162
US30,LONG,anm.iso,anm,712,-0.0964,-0.019
US30,LONG,anm.joint_z,anm,722,0.0105,0.014
US30,LONG,anm.resid_move,anm,722,-0.0014,0.0374
US30,LONG,hst.prev3_R,hst,720,-0.0521,-0.0362
US30,LONG,hst.prev3_win,hst,721,-0.04,-0.0208
US30,LONG,hst.prev10_R,hst,720,-0.073,-0.0481
US30,LONG,hst.prev10_win,hst,721,-0.0095,0.0102
US30,LONG,hst.prev25_R,hst,720,-0.119,0.0093
US30,LONG,hst.prev25_win,hst,721,-0.0486,-0.0004
US30,LONG,hst.gap_bars,hst,721,-0.0174,0.0821
US100,LONG,vol.atr_tod,vol,933,-0.1809,0.0183
US100,LONG,vol.atr_pct250,vol,939,-0.0347,-0.0149
US100,LONG,vol.rv24,vol,939,-0.1463,0.0135
US100,LONG,vol.rv96,vol,939,-0.1656,0.0382
US100,LONG,vol.rv_ratio,vol,939,-0.0127,-0.0207
US100,LONG,vol.volofvol,vol,939,-0.1114,0.0201
US100,LONG,vol.atr_slope,vol,939,-0.0466,0.006
US100,LONG,trn.d_slow_atr,trn,939,0.0867,-0.009
US100,LONG,trn.d_pull_atr,trn,939,0.0004,-0.0134
US100,LONG,trn.slope_slow,trn,939,0.0649,0.0062
US100,LONG,trn.slope_pull,trn,939,0.0633,-0.0266
US100,LONG,trn.er20,trn,939,0.0142,-0.0472
US100,LONG,trn.er96,trn,939,0.0527,0.0013
US100,LONG,trn.ret16,trn,939,0.0021,-0.0167
US100,LONG,trn.ret96,trn,939,0.0804,0.0088
US100,LONG,reg.chop14,reg,939,0.0045,-0.0166
US100,LONG,reg.chop48,reg,939,-0.0302,-0.0436
US100,LONG,reg.adx14,reg,939,0.061,0.0109
US100,LONG,reg.di_spread,reg,939,0.0134,-0.002
US100,LONG,reg.hmm_bear,reg,939,-0.1419,0.036
US100,LONG,reg.hmm_side,reg,939,0.1313,-0.0294
US100,LONG,reg.hmm_bull,reg,939,0.0057,0.0062
US100,LONG,reg.hmm_drift,reg,939,0.0954,-0.0269
US100,LONG,vlm.tod_ratio,vlm,933,-0.1167,0.0307
US100,LONG,vlm.z96,vlm,939,-0.0687,0.0178
US100,LONG,vlm.trend24,vlm,939,0.0011,0.0025
US100,LONG,vlm.per_range,vlm,939,-0.1079,-0.005
US100,LONG,str.body_share,str,939,-0.0094,0.0211
US100,LONG,str.close_pos,str,939,-0.0022,0.0071
US100,LONG,str.upper_wick,str,939,0.0025,-0.0133
US100,LONG,str.rng_atr,str,939,-0.0462,-0.0008
US100,LONG,str.gap_atr,str,939,-0.0253,0.0244
US100,LONG,str.dir_run,str,939,0.0088,-0.0157
US100,LONG,clk.since_open,clk,939,0.0321,0.012
US100,LONG,clk.to_close,clk,939,-0.0384,-0.0051
US100,LONG,ffd.level,ffd,939,0.0255,-0.0159
US100,LONG,ffd.slope,ffd,939,-0.0293,-0.0287
US100,LONG,anm.ae_err,anm,933,-0.1142,0.011
US100,LONG,anm.ae_pct,anm,930,-0.0655,-0.0012
US100,LONG,anm.mahal,anm,933,-0.0926,0.0316
US100,LONG,anm.iso,anm,933,-0.0964,0.0119
US100,LONG,anm.joint_z,anm,939,-0.0738,0.0153
US100,LONG,anm.resid_move,anm,939,0.0336,0.0036
US100,LONG,hst.prev3_R,hst,937,-0.0443,-0.0225
US100,LONG,hst.prev3_win,hst,938,-0.0377,-0.0077
US100,LONG,hst.prev10_R,hst,937,-0.0459,0.0095
US100,LONG,hst.prev10_win,hst,938,-0.0705,-0.0151
US100,LONG,hst.prev25_R,hst,937,-0.0469,0.0301
US100,LONG,hst.prev25_win,hst,938,-0.0797,-0.0141
US100,LONG,hst.gap_bars,hst,938,0.0084,0.0264
US30,SHORT,vol.atr_tod,vol,346,-0.1266,-0.076
US30,SHORT,vol.atr_pct250,vol,348,-0.0246,-0.0409
US30,SHORT,vol.rv24,vol,348,-0.1138,-0.084
US30,SHORT,vol.rv96,vol,348,-0.1198,-0.0645
US30,SHORT,vol.rv_ratio,vol,348,0.0514,-0.051
US30,SHORT,vol.volofvol,vol,348,-0.0263,-0.0688
US30,SHORT,vol.atr_slope,vol,348,0.0451,0.0117
US30,SHORT,trn.d_slow_atr,trn,348,-0.0073,0.0388
US30,SHORT,trn.d_pull_atr,trn,348,0.1586,0.0365
US30,SHORT,trn.slope_slow,trn,348,0.1288,-0.0009
US30,SHORT,trn.slope_pull,trn,348,0.1455,0.0066
US30,SHORT,trn.er20,trn,348,0.0183,0.0299
US30,SHORT,trn.er96,trn,348,0.0239,-0.0647
US30,SHORT,trn.ret16,trn,348,-0.0471,-0.0014
US30,SHORT,trn.ret96,trn,348,0.113,0.0513
US30,SHORT,reg.chop14,reg,348,0.0075,0.0409
US30,SHORT,reg.chop48,reg,348,0.0218,0.1004
US30,SHORT,reg.adx14,reg,348,-0.0114,-0.1134
US30,SHORT,reg.di_spread,reg,348,-0.0608,0.0401
US30,SHORT,reg.hmm_bear,reg,348,-0.0826,-0.0834
US30,SHORT,reg.hmm_side,reg,348,0.0558,0.0828
US30,SHORT,reg.hmm_bull,reg,348,-0.0081,0.0063
US30,SHORT,reg.hmm_drift,reg,348,0.0583,0.0847
US30,SHORT,vlm.tod_ratio,vlm,346,-0.074,-0.0627
US30,SHORT,vlm.z96,vlm,348,0.0341,-0.0521
US30,SHORT,vlm.trend24,vlm,348,0.0638,-0.0443
US30,SHORT,vlm.per_range,vlm,348,-0.0708,-0.0369
US30,SHORT,str.body_share,str,348,0.0297,-0.0353
US30,SHORT,str.close_pos,str,348,0.0285,0.0256
US30,SHORT,str.upper_wick,str,348,-0.0704,0.0185
US30,SHORT,str.rng_atr,str,348,-0.0103,-0.0231
US30,SHORT,str.gap_atr,str,348,0.0225,-0.0199
US30,SHORT,str.dir_run,str,348,-0.027,-0.0063
US30,SHORT,clk.since_open,clk,348,0.0536,0.0048
