feed,cell,model,keep,n_kept,kept_frac,base,kept,uplift,ci_lo,ci_hi,boot_p,hit_base,hit_kept,p90_base,p90_kept,verdict
US30,LONG,mlp 2x64,0.3,217,0.301,0.0302,0.0452,0.015,-0.0394,0.0753,0.324,0.31,0.29,0.42,0.559,MARGINAL -- uplift is positive but
US100,SHORT,mlp 4x128,0.5,216,0.501,0.0816,0.0963,0.0147,-0.0535,0.0776,0.309,0.281,0.282,1.001,0.974,MARGINAL -- uplift is positive but
US30,LONG,xgboost d6,0.3,217,0.301,0.0302,0.0442,0.0139,-0.0909,0.1033,0.416,0.31,0.318,0.42,0.559,MARGINAL -- uplift is positive but
US30,LONG,xgboost d6,0.5,361,0.5,0.0302,0.0427,0.0125,-0.0396,0.059,0.324,0.31,0.319,0.42,0.477,MARGINAL -- uplift is positive but
US30,LONG,mlp 4x128,0.7,505,0.699,0.0302,0.0427,0.0124,-0.0219,0.0545,0.244,0.31,0.307,0.42,0.391,MARGINAL -- uplift is positive but
US30,LONG,lightgbm d3,0.7,505,0.699,0.0302,0.0385,0.0083,-0.0194,0.0321,0.282,0.31,0.311,0.42,0.457,MARGINAL -- uplift is positive but
US30,LONG,xgboost d6,0.7,505,0.699,0.0302,0.0379,0.0077,-0.0162,0.0313,0.264,0.31,0.315,0.42,0.445,MARGINAL -- uplift is positive but
US30,LONG,xgboost d3,0.7,505,0.699,0.0302,0.0347,0.0045,-0.0255,0.0297,0.401,0.31,0.309,0.42,0.455,MARGINAL -- uplift is positive but
US30,LONG,xgboost d3,0.5,361,0.5,0.0302,0.0322,0.002,-0.0516,0.0472,0.491,0.31,0.291,0.42,0.469,MARGINAL -- uplift is positive but
US30,LONG,rf (regularised),0.5,361,0.5,0.0302,0.0322,0.002,-0.0492,0.0471,0.484,0.31,0.291,0.42,0.469,MARGINAL -- uplift is positive but
US30,LONG,ridge,0.3,217,0.301,0.0302,0.0319,0.0017,-0.1034,0.0855,0.521,0.31,0.336,0.42,0.563,MARGINAL -- uplift is positive but
US100,SHORT,xgboost d3,0.5,216,0.501,0.0816,0.0811,-0.0005,-0.0648,0.0607,1.0,0.281,0.255,1.001,1.024,FAIL -- the filter does not improv
US100,SHORT,xgboost d6,0.7,301,0.698,0.0816,0.0774,-0.0042,-0.0525,0.0412,1.0,0.281,0.272,1.001,1.016,FAIL -- the filter does not improv
