mkt,cand,n,med,aggR,pf,folds_pos,folds,pts,ctrl,p
US100,TOP-MEDIAN,72,2.8460561663441455,2.0476995873576267,2.2909953188016217,5,6,342.565421848885,0.8772855052839199,0.03980099502487562
US100,SURROGATE,93,2.238245477952243,1.9969736819977901,2.1752322687544656,8,8,261.80466948442773,0.839676344979047,0.024875621890547265
US100,NEIGHBOURHOOD,96,2.5764185588973314,2.0048493462432213,2.2404255777181854,7,8,318.95558653257115,0.8329654642708288,0.03482587064676617
US100,SPEC (preset T1),155,1.0289301610982586,1.2228631578046496,2.37376439081486,8,8,185.77847260279776,-0.284717543097557,0.004975124378109453
US30,TOP-MEDIAN,81,0.3616415480537653,1.544270413706793,1.543768179833939,4,7,322.7054741872552,1.6594877378805166,0.5323383084577115
US30,SURROGATE,99,-0.3862072203048448,0.7763605462392652,1.1775824973211995,3,8,100.58091392419524,0.6838441630383691,0.39800995024875624
US30,NEIGHBOURHOOD,108,1.0298906418982599,1.2210039251908873,1.5308547198531963,5,8,285.81188746817935,1.5131499883984372,0.736318407960199
US30,SPEC (preset T1),152,0.653792203433216,0.5116585473711797,1.5396144538089267,5,8,177.28044630652082,-0.22803487509918483,0.004975124378109453
NQ,TOP-MEDIAN,25,,1.2348289077635421,1.8538976651707901,0,0,339.18687462896924,0.9516326583559512,0.38308457711442784
NQ,SURROGATE,39,0.5295287449874755,1.7706749122468375,2.8372737068159535,1,1,467.01847083625137,0.4102477168994026,0.04975124378109453
NQ,NEIGHBOURHOOD,32,,1.6458958898597822,2.395917373922939,0,0,444.3449702300731,0.8129809073225353,0.1791044776119403
NQ,SPEC (preset T1),56,1.0184076435302067,1.573825221986454,3.119831467663866,3,3,358.4708418004799,0.11057271755757356,0.004975124378109453
