draw,cost_rt,slip,R_res,R_lck
0,0.24166583552010498,0.04937439493690896,-0.027641168980349087,0.15268811426068835
1,0.4182047531906764,0.04721728697204658,-0.0778265983046508,0.12225246202709485
2,0.32383682259257873,0.038896526288431925,-0.04255205026539234,0.14822382251220886
3,0.49559591854801666,0.0750104465669338,-0.11037908389187905,0.0955333547060893
4,0.4619435160667303,0.0888333434906545,-0.10578777002270802,0.09811043663790951
5,0.29124090082229825,0.04428721991983503,-0.03997072026855455,0.1452495429294368
6,0.20857989430736043,0.029847986869966682,0.0027738379363377265,0.18371008254384535
7,0.37915585249566924,0.09414276727028834,-0.08418248439568317,0.11122991113316098
8,0.4837575796484384,0.005927009265020278,-0.06835735390227779,0.14102019287821693
9,0.5007333593962269,0.05328075434466767,-0.1039205207026239,0.10632841084434856
10,0.27444746661871233,0.020167670218544466,-0.012570904312271456,0.1745154627941667
11,0.18798434274829678,0.09832351172424836,-0.031477710898854684,0.1434015377304915
12,0.5820214125664162,0.04644325302230993,-0.12491002329858475,0.09369542869195155
13,0.36850217227758686,0.048826451894186246,-0.06407298805634268,0.13058012113741072
14,0.5663150075109951,0.018575322968774767,-0.09722938702238046,0.12339102558191739
15,0.5298562435189068,0.03669634848456995,-0.10151518349740686,0.11253871036408951
16,0.1956413530528745,0.09202297448188962,-0.03120184805010598,0.14362715277487026
17,0.47184205320763256,0.0410496609239842,-0.08628562009480413,0.11432322184059966
18,0.5887783566303966,0.09307019952435841,-0.14338406464524575,0.07507068866230804
19,0.4212848059798647,0.046204968732849405,-0.07833473020443844,0.12195682231099456
20,0.40653667711990743,0.02895479154389905,-0.05449089049122168,0.14906859012793783
21,0.3829819096562998,0.009884875334435784,-0.040302112606762155,0.1578848381917841
22,0.574417470943298,0.05796130738011869,-0.12685744920272451,0.09231790224515345
23,0.22957927255667,0.09573366404859945,-0.042285061566372156,0.13681870577455849
24,0.47533078473325424,0.008874112603722529,-0.06699568966611638,0.1417973592950207
25,0.5491680246147869,0.0005259125484061489,-0.08556230925458196,0.130738292098908
26,0.3418965443592934,0.039040531729530016,-0.04784582873513016,0.1450145552064187
27,0.20369467612396594,0.05963087446564416,-0.020762239570391434,0.15679102815742174
28,0.4673834607788514,0.014556454516812367,-0.06680852860479686,0.14182637367288103
29,0.17741568867915997,0.009811416559327768,0.019995418464050622,0.19425876792625585
30,0.520853426029421,0.05956086288639226,-0.11201468132533478,0.10131451086772586
31,0.5424709890374353,0.050643623946604044,-0.11500218088610778,0.0996397472539909
32,0.34118761735193454,0.006059798883735279,-0.02654867365264825,0.1662231358343162
33,0.2110690251027126,0.0031293783440335954,0.012848821302262252,0.18999537770515793
34,0.5766694205213249,0.06756425435087336,-0.13093624764786044,0.08314343413732295
35,0.4172025534398693,0.08069726275089298,-0.09004958400335585,0.10783885654924336
36,0.38699765451420054,0.09523426057163713,-0.08681409310653794,0.10960627826011138
37,0.5675873117388952,0.0762681884167083,-0.13142845681941756,0.08268312245188354
38,0.2609513832209597,0.0163240383188504,-0.007098904273271512,0.17785617222662345
39,0.5582622637374088,0.05452199897838386,-0.12096447464647922,0.09595609497109274
