study,n,corr_R,corr_excess,pos_res,pos_lock,top1_res,top1_lock,pop_lock
excess,209,-0.053,0.258,92.8,95.2,0.5196,0.1277,0.1192
excess_pf,292,0.054,-0.15,90.1,55.5,0.5479,-0.1308,0.0235
return,44,0.667,0.477,77.3,88.6,0.2304,0.1787,0.0709
