reading,signals,c4b_pass,n_res,R_res,pf_res,totR_res,n_lck,R_lck,pf_lck,totR_lck
STRICT  open <  prev close  (the script as written),727,17.323525763950503,378,-0.044737140399948874,0.9156344713371647,-16.910639071180675,214,0.14230500314214972,1.3176970906722665,30.45327067242004
TOUCH   open <= prev close  (any feed with a gap),1090,31.330795577053337,524,-0.04647122460652244,0.9133803535407795,-24.35092169381776,288,0.09817101893824681,1.2082798228532015,28.273253454215084
