study,value,edges,ema_slow,ema_pull,ema_tight,atr_len,atr_stop,vol_mult,range_mult,wick_body,ambig,tighten_R,side,trail,tighten,flatten,use_vol,sess,use_tgt,tgt_R
excess,0.5435,atr_len,290,20,10,30,0.33059300967224386,0.5404440373232785,1.3128051784386536,1.064266485397365,0.0032723507613635627,3.936986899320666,-1,False,True,False,True,utc,True,3.4885808749295952
excess_pf,0.6985,"ema_pull,ema_tight",170,150,5,10,0.5184222435236412,0.33745175352886714,0.37743900553539905,1.2647626628821789,0.0012637304786055226,2.4638222619215533,-1,True,False,False,False,utc,False,
return,1.0787,-,390,36,40,17,2.156923459955102,1.464718262256562,1.1726958198996522,2.2067429477627067,0.0036941117056882382,2.242124107121239,1,False,True,False,True,ny,True,7.931640975957961
