,as published,Optuna excess,Optuna excess_pf,Optuna return
as published,1.0,0.006449065954077552,-0.0015042828675911853,0.05586651690250412
Optuna excess,0.006449065954077552,1.0,0.06267679589640147,-0.0026799526630960084
Optuna excess_pf,-0.0015042828675911853,0.06267679589640147,1.0,-0.004587236792053271
Optuna return,0.05586651690250412,-0.0026799526630960084,-0.004587236792053271,1.0
