cell,block,n,mean_R,boot_p,ci_lo,ci_hi,realised_dd,dd_pctile,mc_p99_dd,dd_ratio
as published,research,378,-0.0447,0.754,-0.173,0.0917,23.46,0.034,57.02,2.43
as published,locked,214,0.1423,0.0527,-0.0279,0.32,17.94,0.896,24.19,1.35
Optuna excess,research,351,0.1375,0.1043,-0.0754,0.3474,55.47,0.996,50.84,0.92
Optuna excess,locked,175,-0.2029,0.9297,-0.4509,0.0634,41.3,0.26,64.63,1.56
Optuna excess_pf,research,357,0.317,0.1167,-0.1195,0.9581,27.13,0.095,71.51,2.64
Optuna excess_pf,locked,214,-0.4585,1.0,-0.594,-0.2892,100.15,0.681,111.75,1.12
Optuna return,research,94,1.0787,0.0033,0.2828,1.8856,12.57,0.432,25.7,2.04
Optuna return,locked,56,-0.072,0.6093,-0.7106,0.7257,28.95,0.899,36.04,1.24
