ticks,draw,n_res,R_res,pf_res,n_lck,R_lck,pf_lck
0.5,0,461,-0.05451714330426146,0.9005823100765954,253,0.14133210199065982,1.313273919658438
0.5,1,462,-0.05104482692343859,0.9043183039155201,262,0.09420517039229782,1.1981856341937749
0.5,2,462,-0.07019480905906819,0.8717751405811854,251,0.12691879385310592,1.2764028673284644
0.5,3,452,-0.03028181746608626,0.9429087393830413,252,0.1124858250800511,1.2413276280939167
0.5,4,456,-0.05362553138491612,0.9009894226671743,253,0.14181398144445784,1.3081964972904894
0.5,5,447,-0.028886190332665915,0.9459675128701721,252,0.11253658092990307,1.2458180512802146
0.5,6,457,-0.014752486376293393,0.9715675067570235,241,0.14192711464401533,1.3157541214125612
0.5,7,446,-0.023391142946611283,0.9562577118709308,252,0.16326634849068108,1.3621010457821003
0.5,8,465,-0.07271935542102904,0.8654614595372984,249,0.14088652014839526,1.309956907440315
0.5,9,456,-0.04829938783777767,0.9093100106365963,256,0.11748456179331956,1.2544201463866158
0.5,10,465,-0.05831584503665974,0.8929879864875031,249,0.12110706619556683,1.2623271002652443
0.5,11,468,-0.06577913353526495,0.8778021252312684,250,0.1173010232308467,1.2512315450560108
0.5,12,460,-0.05046241845950875,0.9072410126107595,257,0.12234685626177777,1.265654389989775
0.5,13,459,-0.04597349938002395,0.9133592687932476,249,0.13867791450961214,1.3061043807425865
0.5,14,463,-0.05707728939655015,0.8941073087224496,250,0.0941871366161282,1.2015768498234949
0.5,15,470,-0.044949026119422544,0.9169534115110568,256,0.09198756692755952,1.1957403289139028
0.5,16,440,-0.06446885558091554,0.8820420654129333,258,0.11938482890081435,1.2553381286808787
0.5,17,449,-0.03584187291328087,0.9328068002109398,249,0.13544427734815428,1.297998856335166
0.5,18,460,-0.058014388101038865,0.8932322174490174,248,0.1115537803653628,1.2406800446060529
0.5,19,463,-0.06652218000125336,0.8762407618061929,251,0.14134251003107348,1.3090119476411657
0.5,20,458,-0.04446964006060415,0.9162466661247527,252,0.12529166856104848,1.267749274572715
0.5,21,460,-0.042076860017544834,0.9219838684464355,252,0.127432286041904,1.2788445417381613
0.5,22,452,-0.04923628596437262,0.9079681724658508,253,0.10290592993662126,1.2235129482284117
0.5,23,458,-0.021152060548127974,0.9602475543484849,254,0.11442379859504359,1.2459147682035137
0.5,24,456,-0.07308798977258885,0.864408853135009,259,0.08358296959187404,1.1775171701266745
0.5,25,450,-0.025045054368563382,0.9527471684570523,257,0.11112825216715906,1.238581749135189
0.5,26,455,-0.011413686538995698,0.9785642548284387,247,0.13437356354818797,1.2931658424186923
0.5,27,457,-0.06164411995993037,0.8855229246923287,256,0.10540579246689266,1.2276434510506347
0.5,28,451,-0.029130710928723394,0.9451754960216454,257,0.1052219530279246,1.2243336938282223
0.5,29,463,-0.06362585594255461,0.884782943511073,253,0.09316650032837906,1.201785082671753
0.5,30,457,-0.03947299661499925,0.9265853182059807,252,0.09190760733592104,1.1998729730000437
0.5,31,459,-0.040345865307994465,0.923735317923707,253,0.13627555761282317,1.2926818570823666
0.5,32,452,-0.07057674039406998,0.8685953047318756,252,0.08127796479228863,1.1733699816513377
0.5,33,458,-0.06642876914040446,0.8767045733980184,249,0.11132434215480505,1.2408457762576548
0.5,34,457,-0.04726169913221297,0.9114864216969683,250,0.1357868128010616,1.29488768489293
0.5,35,460,-0.05469879368551041,0.8999087440341226,254,0.07892261015415768,1.1681753017265635
0.5,36,461,-0.013411247349627807,0.9744348237965303,240,0.1442448704834996,1.3193480224372616
0.5,37,454,-0.030596654506299156,0.9436275469847596,258,0.11999922359926292,1.2640519318263321
0.5,38,455,-0.03993235196999468,0.9247851600902143,257,0.11408088128527256,1.2472201854605414
0.5,39,465,-0.043950623739244375,0.9167020210795082,258,0.11531544263319844,1.2527834929872468
0.5,40,460,-0.047154502121079155,0.9130776236890993,252,0.15392954002873388,1.3351174769188174
0.5,41,459,-0.049102808381374215,0.9097530506381123,240,0.11159035865935801,1.240363612263788
0.5,42,461,-0.06838085950354336,0.8731144620243747,251,0.12393280103147462,1.2706549580168498
0.5,43,461,0.006741358532484749,1.012766311309601,253,0.14076634503423796,1.3097202459651565
0.5,44,452,-0.0659277990231825,0.8783444211382856,256,0.12527238955811934,1.2689280769554674
0.5,45,463,-0.08604258815600668,0.8417329599205383,241,0.16981214994782884,1.381679729708707
0.5,46,451,-0.053829731271819205,0.9003823106171789,254,0.11370451617387113,1.2465848360926777
0.5,47,461,-0.040681627438644646,0.9244436635004201,254,0.10381274117891215,1.2242303454473447
0.5,48,461,-0.07195954749450974,0.8667180047666199,252,0.1247537580900995,1.2712035346862507
0.5,49,456,-0.016811838420497775,0.9682233062640884,253,0.09711796610573287,1.2132785927211875
0.5,50,448,-0.031638126777916185,0.9407161299371031,243,0.10206458424655138,1.2192597240437104
0.5,51,447,-0.038669635725585925,0.9272753198513296,257,0.1385955704959676,1.3079308420414044
0.5,52,455,-0.048562470836246915,0.9092890443974182,254,0.11111778088120326,1.2361820525218243
0.5,53,456,-0.03180349474758328,0.939859207146145,253,0.15047478860448427,1.3317562717924225
0.5,54,454,-0.0804708238773856,0.8533151190099255,250,0.09366568295383403,1.2004725288771028
0.5,55,450,-0.058812530853276195,0.8893352334575746,248,0.09561837710470737,1.2065105362692585
0.5,56,462,-0.07819954162655995,0.8556008693062329,244,0.15269642731120014,1.3374118986813845
0.5,57,461,-0.0614511617686933,0.8862848207613563,245,0.13225901609987983,1.291791003210758
0.5,58,458,-0.03415365373326055,0.9359321011006817,254,0.13334436012109538,1.2907029506112537
0.5,59,457,-0.05355969960984236,0.9007533082674454,244,0.12364641682708342,1.2678771070083208
0.5,60,448,-0.046415934403566,0.911895250376442,246,0.1318667498133694,1.2912503038522538
