,intr/fav,intr/adv,barc/fav,barc/adv,notrail/adv
intr/fav,1.0,0.9042034013989014,0.8078035124687544,0.7926441206474789,0.44844681073673875
intr/adv,0.9042034013989014,1.0,0.8887829717626425,0.9134138961649935,0.503107895196692
barc/fav,0.8078035124687544,0.8887829717626425,1.0,0.9754480319177861,0.5891987533446117
barc/adv,0.7926441206474789,0.9134138961649935,0.9754480319177861,1.0,0.5794131921836676
notrail/adv,0.44844681073673875,0.503107895196692,0.5891987533446117,0.5794131921836676,1.0
