dropped,n,exp
2016,262,5.735507459539049
2017,222,6.777284447729648
2018,223,6.521439378606973
2019,226,6.8127341857474475
2020,215,4.01316285458655
2021,221,6.594569447081293
2022,233,3.114052587715663
