sym,label,n,gross,gross_atr,net,ctrl,excess,p,rt,ex_crisis,atr,usd
NAS,as written (full window),1228,0.44710801781311127,0.03806039791794205,-0.19284238770629294,-0.7463918133019123,0.5535494255956194,0.25,0.624,-0.7654804271291523,11.747329042041889,-4736.209042066555
NAS,ATR-relative distances,1507,0.418737986171868,0.03564537816837079,-0.12236342303893995,-0.8389683658057095,0.7166049427667696,0.16666666666666666,0.624,-0.697977460953352,11.747329042041889,-3688.03357039365
NAS,ATR-relative + RTH 09:31-11:00,329,3.797963251309285,0.323304407130928,3.183588510322982,-0.8470340244229898,4.030622534745972,0.02,0.624,-0.22338987449924655,11.747329042041889,20948.012397925224
US30,as written (full window),1553,-0.9828913997930346,-0.03547534932565271,-3.484503678081799,-2.5109966858465653,-0.9735069922352335,0.79,2.496,-2.7643431260962177,27.706320543045152,-27057.17106030517
US30,ATR-relative distances,1511,-2.541461936665878,-0.09172859791026408,-4.673383546607029,-2.2669496738496613,-2.406433872757368,0.91,2.496,-2.1590591373128123,27.706320543045152,-35307.412694616105
US30,ATR-relative + RTH 09:31-11:00,364,-5.828717127365523,-0.21037499794712541,-7.664772500844228,-1.7261384384087133,-5.938634062435514,0.9466666666666667,2.496,-0.11492702823963376,27.706320543045152,-13949.885951536493
