struct,flag,stop,targ,arm,off,n,gross,exp,ctrl,excess,z,p,wr,net_usd,exp_ex_2020_2022,n_ex,top5pct_share
hma89 13/21,none,1.5,2.5,1.0,0.5,212,5.888205715393814,5.536727593762994,-1.1638518557145303,6.700579449477525,2.855591224283282,0.008333333333333333,0.6179245283018868,23475.724997555095,1.318516945622757,149,0.8055603115813175
hma89 13/21,none,1.0,2.0,1.0,0.5,213,2.2384066864525725,1.6596719149573786,-0.698146360160324,2.357818275117703,1.2096727636182538,0.11666666666666667,0.48826291079812206,7070.202357718434,-0.44394484899869335,150,1.9814771759405019
hma89 13/21,none,2.0,3.0,1.0,0.5,211,5.76679395939649,5.189199519332251,-1.1009121912501272,6.290111710582378,2.491842721508057,0.0,0.6587677725118484,21898.4219715821,2.1300490301913833,148,0.8517253030662775
hma89 13/21,none,1.5,2.5,1.5,0.75,212,6.830450030457914,5.96700252429389,-0.9063667272211153,6.8733692515150056,2.5831821794132703,0.0,0.5801886792452831,25300.090703006095,1.0997500943237506,149,0.918200563963691
hma89 13/21,none,1.5,2.5,0.75,0.4,212,4.904176617252254,4.2752079805499426,-1.0323294929173341,5.307537473467277,2.44931722779364,0.0,0.6320754716981132,18126.881837531757,0.31033397548040903,149,0.9999330714671434
hma89 13/21,none,1.5,4.0,1.5,0.75,211,8.031359574323549,7.069081759553224,-0.608221002274356,7.67730276182758,2.884292039570205,0.008333333333333333,0.5829383886255924,29831.5250253146,1.886919336693363,148,0.8245936554587591
hma89 13/21,EMA align,1.5,2.5,1.0,0.5,121,4.377183542519816,3.9235393745043927,-0.4506544581283575,4.37419383263275,1.4024834615406536,0.075,0.5371900826446281,9494.965286300629,-1.5065720176626856,79,1.1228265473647143
hma89 13/21,EMA align,1.0,2.0,1.0,0.5,122,3.722294094440482,3.120452007998834,-0.5535645832373675,3.6740165912362013,1.4014300317466244,0.06666666666666667,0.45081967213114754,7613.902899517156,-1.4365470554389836,80,1.2241676389067657
hma89 13/21,EMA align,2.0,3.0,1.0,0.5,121,4.811709737612674,3.9519098931475445,-0.9747140357455476,4.926623928893092,1.450168677413599,0.075,0.5867768595041323,9563.621941417055,0.6531209090232667,79,1.135584776839154
hma89 13/21,EMA align,1.5,2.5,1.5,0.75,121,5.100296389432853,4.225722672851153,-0.408365071835452,4.634087744686605,1.2806322906654692,0.1,0.5206611570247934,10226.248868299785,-4.120117143627757,79,1.3813192963589627
hma89 13/21,EMA align,1.5,2.5,0.75,0.4,121,2.7293622742269714,2.0597091113865216,-0.40642294714903987,2.4661320585355613,0.8217545173893144,0.20833333333333334,0.5537190082644629,4984.4960495553805,-2.4487262896021087,79,1.9124513851762708
hma89 13/21,EMA align,1.5,4.0,1.5,0.75,121,6.293390794532232,5.354944794191562,-0.24703138886247214,5.601976183054034,1.5226394059444541,0.06666666666666667,0.5206611570247934,12958.966401943577,-4.408462416678839,79,1.221714649205568
hma89 13/21,close back through fast MA,1.5,2.5,1.0,0.5,184,6.699426205481137,6.291098413990365,-0.8738406712085758,7.164939085198942,2.822941513072016,0.0,0.6086956521739131,23151.24216348454,1.7609373483501969,129,0.7613238295881981
hma89 13/21,close back through fast MA,1.0,2.0,1.0,0.5,185,2.9228134050177736,2.3306593167557406,-0.6950253101297823,3.025684626885523,1.4694929842343822,0.06666666666666667,0.4918918918918919,8623.439471996235,0.7243727466458035,130,1.508832465994513
hma89 13/21,close back through fast MA,2.0,3.0,1.0,0.5,184,6.754486331343875,6.089457099267123,-1.4320735882318638,7.521530687498987,2.6727411489534636,0.0,0.6521739130434783,22409.20212530301,2.7251163173668544,129,0.7749459348581865
hma89 13/21,close back through fast MA,1.5,2.5,1.5,0.75,184,8.184147681324728,7.257632076396603,-0.7087813442925942,7.9664134206891974,2.756010349400139,0.0,0.5760869565217391,26708.0860411395,1.4888077174264547,129,0.8073051697935821
hma89 13/21,close back through fast MA,1.5,2.5,0.75,0.4,184,5.599895154360322,4.957942159898962,-0.8901603677626707,5.8481025276616325,2.374880748017434,0.008333333333333333,0.625,18245.227148428177,0.8832254210198404,129,0.9339940909993749
hma89 13/21,close back through fast MA,1.5,4.0,1.5,0.75,184,9.284944042462099,8.250473287480903,-0.4902004967970782,8.74067378427798,3.016675348267815,0.0,0.5760869565217391,30361.74169792972,2.0431671321587355,129,0.7492626342268
hma89 13/21,trend MA rising 4 bars,1.5,2.5,1.0,0.5,138,5.19102459794863,4.700931237526273,-0.9842425786556539,5.685173816181927,2.1174963471770996,0.0,0.5797101449275363,12974.570215572516,-0.7277212025539701,94,0.8276336633732123
hma89 13/21,trend MA rising 4 bars,1.0,2.0,1.0,0.5,138,2.677035349221536,2.107044519178921,-0.9300791312048483,3.0371236503837693,1.3076669046211447,0.05,0.463768115942029,5815.4428729338215,-1.7340713944916177,94,1.597546711842101
hma89 13/21,trend MA rising 4 bars,2.0,3.0,1.0,0.5,137,4.923354419624951,4.122115140936771,-1.3900397439320562,5.512154884868827,1.595079288145188,0.075,0.6131386861313869,11294.595486166752,0.15890730045169266,93,0.971539917373083
hma89 13/21,trend MA rising 4 bars,1.5,2.5,1.5,0.75,138,5.350035638790926,4.460101883677336,-0.9603283984829959,5.420430282160331,1.6229096209297176,0.05,0.5507246376811594,12309.881198949446,-2.8537819305506478,94,1.1475102531742567
hma89 13/21,trend MA rising 4 bars,1.5,2.5,0.75,0.4,138,3.7854776377921353,3.0824343616174015,-0.953999362412434,4.036433724029836,1.6614640321366099,0.06666666666666667,0.5942028985507246,8507.518838064028,-1.6308735908487992,94,1.1496632629011696
hma89 13/21,trend MA rising 4 bars,1.5,4.0,1.5,0.75,137,6.862897018950539,5.910959759530752,-0.6401232756061698,6.551083035136922,1.7574602703831614,0.05,0.5547445255474452,16196.029741114258,-2.5092820173843573,93,0.9775333427319338
hma89 13/21,align + close back,1.5,2.5,1.0,0.5,111,4.648113629149906,4.203060076628586,-0.8301316259829226,5.033191702611509,1.5040699139414655,0.058333333333333334,0.5315315315315315,9330.793370115467,-0.32451728065503316,73,1.0048104933705915
hma89 13/21,align + close back,1.0,2.0,1.0,0.5,112,4.068567186912552,3.4575427713243285,-0.6694393173268952,4.126982088651224,1.6225419331506046,0.05,0.45535714285714285,7744.895807766496,-0.06535263926836082,74,1.0671660186846392
hma89 13/21,align + close back,2.0,3.0,1.0,0.5,111,4.934440322821461,4.048892744620734,-1.4578922899081415,5.506785034528876,1.4655939953927728,0.075,0.5855855855855856,8988.54189305803,1.731240727557255,73,1.0652209893478795
hma89 13/21,align + close back,1.5,2.5,1.5,0.75,111,5.790037986441135,4.883881052149371,-0.6897526270666684,5.573633679216039,1.4580820004015174,0.1,0.5225225225225225,10842.215935771606,-2.4787629944903946,73,1.1259803744524264
hma89 13/21,align + close back,1.5,2.5,0.75,0.4,111,3.0180403464844217,2.337517529334022,-0.6685871740139313,3.0061047033479533,0.9483549866149454,0.19166666666666668,0.5585585585585585,5189.288915121527,-0.9517604743400475,73,1.6373004290557063
hma89 13/21,align + close back,1.5,4.0,1.5,0.75,111,7.090618373981899,6.11483489613306,-0.6291501461969343,6.743985042329995,1.7830761787744613,0.06666666666666667,0.5225225225225225,13574.933469415399,-2.7908078790251283,73,1.0146624359030068
hma89 13/21,cap retrace at 3 ATR,1.5,2.5,1.0,0.5,129,5.511114942443564,5.064347932134524,-1.2094356101968387,6.273783542331363,1.9977573786203688,0.041666666666666664,0.6124031007751938,13066.017664907067,0.9551962812207523,85,0.9787459023466242
hma89 13/21,cap retrace at 3 ATR,1.0,2.0,1.0,0.5,130,0.67876605369876,0.09863732642275282,-0.9225560953837619,1.0211934218065148,0.3893179691657858,0.3416666666666667,0.4846153846153846,256.45704869915494,0.5670970738812211,86,33.620471864165815
hma89 13/21,cap retrace at 3 ATR,2.0,3.0,1.0,0.5,129,4.939295375525887,4.115436606686504,-1.6945630863499366,5.80999969303644,1.553567453363256,0.075,0.6511627906976745,10617.826445251176,1.3931241252167468,85,1.1322914184744761
hma89 13/21,cap retrace at 3 ATR,1.5,2.5,1.5,0.75,129,7.015774035712243,5.947879589219206,-1.1842311263706913,7.1321107155898975,1.9598157890049415,0.025,0.5736434108527132,15345.529340185549,0.8112381883723221,85,1.010978881974439
hma89 13/21,cap retrace at 3 ATR,1.5,2.5,0.75,0.4,129,4.772588679978304,4.105766721034937,-1.1544319038853688,5.260198624920306,1.7825666781221166,0.03333333333333333,0.6201550387596899,10592.878140270132,-0.19529999186549657,85,1.2418229742168312
hma89 13/21,cap retrace at 3 ATR,1.5,4.0,1.5,0.75,129,8.126404976265896,6.896737380718081,-1.0292947967081085,7.9260321774261895,2.1532216712318997,0.016666666666666666,0.5736434108527132,17793.582442252646,0.8523452526852603,85,0.9405624103423492
hma89 13/21,ATR pct < 0.8,1.5,2.5,1.0,0.5,113,0.3899614484308401,0.09962523178218126,-0.41892757796758034,0.5185528097497616,0.1740116859575761,0.45,0.5929203539823009,225.1530238277262,0.6133140358319923,84,21.868913551602656
hma89 13/21,ATR pct < 0.8,1.0,2.0,1.0,0.5,114,-1.1859070618605296,-1.7752292947191348,-0.7395828176076101,-1.0356464771115248,-0.39539680425528545,0.6333333333333333,0.4649122807017544,-4047.522791959629,-1.1470185974383,85,-1.0308717325180474
hma89 13/21,ATR pct < 0.8,2.0,3.0,1.0,0.5,112,2.1448809727210363,1.42319499654503,-1.0650375800294358,2.4882325765744655,0.6508280230575805,0.26666666666666666,0.6517857142857143,3187.9567922608626,4.0204546893988065,83,1.6803141743437169
hma89 13/21,ATR pct < 0.8,1.5,2.5,1.5,0.75,113,1.4348445576291835,0.761627101241374,-0.25102958839810896,1.012656689639483,0.27965221510425264,0.375,0.5929203539823009,1721.277248805502,1.6654405235689151,84,3.782044860617531
hma89 13/21,ATR pct < 0.8,1.5,2.5,0.75,0.4,113,-1.4243825604724536,-2.0928430268768294,-0.44374004072191203,-1.6491029861549173,-0.5688458703591779,0.7833333333333333,0.5752212389380531,-4729.825240741636,-1.1280412930932018,84,-0.8591778268668941
hma89 13/21,ATR pct < 0.8,1.5,4.0,1.5,0.75,112,2.722497112050194,1.8938067532860148,-0.34866913602649524,2.24247588931251,0.5493370101675903,0.275,0.5982142857142857,4242.127127360672,2.9771649963459508,83,1.838750710440324
hma89 13/21,ATR pct 0.2-0.8,1.5,2.5,1.0,0.5,108,0.26657220329655973,-0.010631430789537136,-0.8200721778781509,0.8094407470886138,0.2685566761215528,0.375,0.5833333333333334,-22.963890505403015,0.5998566661653862,80,-214.41715256448614
hma89 13/21,ATR pct 0.2-0.8,1.0,2.0,1.0,0.5,109,-1.3103197139172662,-1.9026383794758073,-1.1454229362738901,-0.7572154432019171,-0.24301828254323543,0.575,0.45871559633027525,-4147.75166725726,-1.1559509203350264,81,-1.0059611007794
hma89 13/21,ATR pct 0.2-0.8,2.0,3.0,1.0,0.5,107,1.6409416179764444,0.912354427960437,-0.929438916614499,1.841793344574936,0.5164805384993283,0.3,0.6355140186915887,1952.4384758353322,3.5544028278332216,79,2.743630107442649
hma89 13/21,ATR pct 0.2-0.8,1.5,2.5,1.5,0.75,108,1.2352371717428283,0.5421485368185329,-0.8447221749859289,1.3868707118044619,0.3762338004107349,0.36666666666666664,0.5833333333333334,1171.0408395280265,1.6812611298421427,80,5.559112502999017
hma89 13/21,ATR pct 0.2-0.8,1.5,2.5,0.75,0.4,108,-1.6309682212938443,-2.303801857439163,-0.6141104319203506,-1.6896914255188125,-0.591800608128852,0.7416666666666667,0.5648148148148148,-4976.212012068594,-1.227485089827211,80,-0.8166374266098224
hma89 13/21,ATR pct 0.2-0.8,1.5,4.0,1.5,0.75,107,2.455084410867997,1.5990720727223005,-0.5637583475999102,2.1628304203222104,0.5970873521832446,0.31666666666666665,0.5887850467289719,3422.0142356257206,3.059602292459449,79,2.2794219229150348
ema34 13/34,none,1.5,2.5,1.0,0.5,267,6.065453776112996,5.6473302894396475,-0.9585926346394377,6.605922924079085,3.355283287767426,0.0,0.6067415730337079,30156.743745607713,0.44512198559929267,181,0.7802600035883615
ema34 13/34,none,1.0,2.0,1.0,0.5,269,3.6198952467929537,2.8042824194580938,-0.5068725175118929,3.3111549369699866,2.0916477080028617,0.03333333333333333,0.48698884758364314,15087.039416684544,-1.4735136397270685,183,1.3355222497053945
ema34 13/34,none,2.0,3.0,1.0,0.5,267,5.821886029388882,5.089231301702238,-1.2869492385424999,6.376180540244738,2.861286936281761,0.0,0.651685393258427,27176.49515108995,0.6691884370949961,181,0.8593587664794818
ema34 13/34,none,1.5,2.5,1.5,0.75,266,6.906396698025352,6.155031459876186,-0.6607552667092081,6.815786726585395,2.6005250858927074,0.0,0.5413533834586466,32744.7673665413,-0.4098034287567066,181,0.9880203425386268
ema34 13/34,none,1.5,2.5,0.75,0.4,267,5.448492481313575,4.825426177712398,-0.9042500699147324,5.729676247627131,3.243160954643933,0.0,0.6217228464419475,25767.7757889842,0.3867535868623904,181,0.8559601466479937
ema34 13/34,none,1.5,4.0,1.5,0.75,266,7.3586298061238296,6.558473040400093,-0.4529678523612899,7.011440892761383,2.6570763998575635,0.0,0.5413533834586466,34891.07657492849,0.16142421288952014,181,0.9022452882858424
ema34 13/34,EMA align,1.5,2.5,1.0,0.5,199,6.198246535290341,5.793437636085392,-1.1452647999397898,6.938702436025182,2.7718210928414386,0.0,0.5879396984924623,23057.881791619864,-0.3618906204218555,127,0.6717588003465433
ema34 13/34,EMA align,1.0,2.0,1.0,0.5,200,4.290142226953836,3.3391729741884477,-0.9265707034485047,4.265743677636952,1.9455116852098389,0.025,0.465,13356.691896753784,-2.796439961254873,128,1.2296120473209668
ema34 13/34,EMA align,2.0,3.0,1.0,0.5,199,6.292680540565948,5.473400076785374,-1.767756276316121,7.241156353101495,2.5453194732971367,0.0,0.6381909547738693,21784.132305605788,0.5992602043116815,127,0.7277172515848628
ema34 13/34,EMA align,1.5,2.5,1.5,0.75,199,7.7245922752099245,6.891377932210891,-0.9401127337159553,7.831490665926847,2.8672405799265968,0.0,0.5376884422110553,27427.684170199343,-1.6384755621154685,127,0.84068479161924
ema34 13/34,EMA align,1.5,2.5,0.75,0.4,199,5.4521123960332085,4.809411969981356,-1.1932544312575886,6.002666401238944,2.6690351105591534,0.0,0.6080402010050251,19141.459640525798,-0.12942235261288756,127,0.7361422037525762
ema34 13/34,EMA align,1.5,4.0,1.5,0.75,199,8.209418440255456,7.319779241302476,-0.7942833887192176,8.114062630021694,2.924666782160332,0.0,0.5376884422110553,29132.721380383853,-1.2790319832151749,127,0.7819119847817724
ema34 13/34,close back through fast MA,1.5,2.5,1.0,0.5,232,6.290687292091257,5.868341112633062,-1.0672228914979223,6.935564004130985,3.26084314733236,0.0,0.5991379310344828,27229.1027626174,1.0019817263719368,159,0.7480889997138752
ema34 13/34,close back through fast MA,1.0,2.0,1.0,0.5,234,3.3820825803937726,2.651973725830981,-0.5367251030300972,3.188698828861078,1.5115245167346913,0.075,0.47863247863247865,12411.237036888991,-0.9092658626681026,161,1.3868142551310803
ema34 13/34,close back through fast MA,2.0,3.0,1.0,0.5,232,5.843938152436471,5.112028812028429,-1.6757301046284965,6.787758916656926,2.520849576007632,0.008333333333333333,0.6422413793103449,23719.81368781192,1.3456400892069154,159,0.8529877243397103
ema34 13/34,close back through fast MA,1.5,2.5,1.5,0.75,232,7.746754431908934,7.005974607840416,-1.0075077724324792,8.013482380272896,3.245735245765476,0.0,0.5517241379310345,32507.72218037953,0.4951383267707363,159,0.8611042754056693
ema34 13/34,close back through fast MA,1.5,2.5,0.75,0.4,232,5.516756079986874,4.882166879057857,-0.9836496691343825,5.86581654819224,3.016771955921,0.0,0.6163793103448276,22653.25431882846,0.4806780121036677,159,0.8768933353414772
ema34 13/34,close back through fast MA,1.5,4.0,1.5,0.75,232,8.272917994441313,7.480506505136438,-0.9133442702204957,8.393850775356933,3.3364745337121824,0.0,0.5517241379310345,34709.550183833075,1.0106260987973485,159,0.795298795948531
ema34 13/34,trend MA rising 4 bars,1.5,2.5,1.0,0.5,126,3.6846687150529744,3.1697956991799594,-0.4380796234317176,3.607875322611677,0.9806128387896232,0.18333333333333332,0.5714285714285714,7987.885161933495,-0.4930998935049195,83,1.136155680803405
ema34 13/34,trend MA rising 4 bars,1.0,2.0,1.0,0.5,126,2.5023688294456248,1.6208572752886223,-0.412348520865964,2.0332057961545864,0.6942779609996964,0.25,0.4603174603174603,4084.560333727328,-1.7975514380012556,83,2.145398561463787
ema34 13/34,trend MA rising 4 bars,2.0,3.0,1.0,0.5,126,3.6319663595932865,2.312104792426546,-0.7616746841567331,3.073779476583279,0.7245431072614221,0.225,0.6111111111111112,5826.504076914892,0.0852881115162397,83,1.6691050673044716
ema34 13/34,trend MA rising 4 bars,1.5,2.5,1.5,0.75,126,3.674531986871335,3.085984455086098,-0.20128881650790445,3.2872732715940023,0.7912926940069809,0.20833333333333334,0.5079365079365079,7776.68082681697,-2.243748390298656,83,1.7192705614712223
ema34 13/34,trend MA rising 4 bars,1.5,2.5,0.75,0.4,126,3.6969070573057556,3.1522721366708346,-0.5435464067721896,3.695818543443024,1.1109122163255623,0.14166666666666666,0.6111111111111112,7943.725784410506,0.8191016705355727,83,1.0108911223932568
ema34 13/34,trend MA rising 4 bars,1.5,4.0,1.5,0.75,126,3.793167646118967,3.2026755795583375,0.05720724947579376,3.1454683300825437,0.748922219559365,0.21666666666666667,0.5079365079365079,8070.742460487014,-2.5584464024875864,83,1.5980202382387745
ema34 13/34,align + close back,1.5,2.5,1.0,0.5,164,6.545209476010852,6.137268539216327,-0.7938176090683802,6.931086148284708,2.5706400130901614,0.008333333333333333,0.573170731707317,20130.240808629555,0.31226577434371877,105,0.6762257056428947
ema34 13/34,align + close back,1.0,2.0,1.0,0.5,165,4.095054229185487,3.236633186957041,-0.6629760248204651,3.899609211777506,1.6518040463160597,0.058333333333333334,0.4484848484848485,10680.889516958234,-2.2139917250956103,106,1.2525171633289367
ema34 13/34,align + close back,2.0,3.0,1.0,0.5,164,6.42435066518935,5.587637451929191,-0.778749688108538,6.3663871400377285,2.1324692507557788,0.008333333333333333,0.6219512195121951,18327.450842327748,1.608949647783703,105,0.7625686896960381
