trend_n,trend_t,fast,slow,n,gross,exp,ctrl,excess,z,p,wr
34,ema,5,21,296,5.799681790238455,5.4333701173831574,-0.7321757067131899,6.165545824096347,3.1481815054402644,0.008333333333333333,0.6081081081081081
34,ema,5,34,297,5.903723265692193,5.536543955371763,-0.7540269142250179,6.290570869596781,3.2281383017539818,0.0,0.6094276094276094
34,ema,5,50,297,5.903723265692193,5.536543955371763,-0.7540269142250179,6.290570869596781,3.2281383017539818,0.0,0.6094276094276094
34,ema,8,21,278,5.446664906021309,5.061402420619205,-0.9721347452368921,6.033537165856098,2.9960943714062416,0.0,0.6007194244604317
34,ema,8,34,279,5.558684028221945,5.172565852803362,-0.9582979376515591,6.130863790454921,2.7752653178974067,0.0,0.6021505376344086
34,ema,8,50,279,5.558684028221945,5.172565852803362,-0.9582979376515591,6.130863790454921,2.7752653178974067,0.0,0.6021505376344086
34,ema,13,21,264,5.9303227495314355,5.5135917989943755,-1.06859256164712,6.582184360641495,3.1026224388837327,0.0,0.6022727272727273
34,ema,13,34,267,6.065453776112996,5.6473302894396475,-0.9585926346394377,6.605922924079085,3.355283287767426,0.0,0.6067415730337079
34,ema,13,50,267,6.065453776112996,5.6473302894396475,-0.9585926346394377,6.605922924079085,3.355283287767426,0.0,0.6067415730337079
34,ema,21,34,249,5.372854726109887,4.9645937986328414,-1.1993497889214353,6.163943587554277,2.7023472153798926,0.008333333333333333,0.5943775100401606
34,ema,21,50,249,5.372854726109887,4.9645937986328414,-1.1993497889214353,6.163943587554277,2.7023472153798926,0.008333333333333333,0.5943775100401606
34,sma,5,21,286,5.819274675934912,5.4520080494832746,-0.8105337530028066,6.262541802486081,2.80798029678403,0.008333333333333333,0.6118881118881119
34,sma,5,34,286,5.819274675934912,5.4520080494832746,-0.8105337530028066,6.262541802486081,2.80798029678403,0.008333333333333333,0.6118881118881119
34,sma,5,50,286,5.819274675934912,5.4520080494832746,-0.8105337530028066,6.262541802486081,2.80798029678403,0.008333333333333333,0.6118881118881119
34,sma,8,21,268,5.454401460002709,5.067412762458736,-0.7659942380580205,5.833407000516757,2.877138920853118,0.0,0.6044776119402985
34,sma,8,34,268,5.454401460002709,5.067412762458736,-0.7659942380580205,5.833407000516757,2.877138920853118,0.0,0.6044776119402985
34,sma,8,50,268,5.454401460002709,5.067412762458736,-0.7659942380580205,5.833407000516757,2.877138920853118,0.0,0.6044776119402985
34,sma,13,21,254,5.9575273751303195,5.5377361509500656,-0.9179981400951598,6.455734291045225,3.069536320046172,0.0,0.6062992125984252
34,sma,13,34,256,5.978058225113177,5.55764818237183,-0.6083518936919445,6.166000076063774,2.5835250165334673,0.0,0.609375
34,sma,13,50,256,5.978058225113177,5.55764818237183,-0.6083518936919445,6.166000076063774,2.5835250165334673,0.0,0.609375
34,sma,21,34,238,5.246838547093131,4.83657396330412,-0.7097772028369491,5.5463511661410685,2.257105864529452,0.008333333333333333,0.5966386554621849
34,sma,21,50,238,5.246838547093131,4.83657396330412,-0.7097772028369491,5.5463511661410685,2.257105864529452,0.008333333333333333,0.5966386554621849
34,hma,5,21,302,4.809691301364453,4.1341918339834836,-0.7264102822630346,4.860602116246518,2.287251146515685,0.025,0.5927152317880795
34,hma,5,34,304,4.914821951108706,4.239072150865167,-1.1733913558436202,5.412463506708787,2.887487233052276,0.008333333333333333,0.5953947368421053
34,hma,5,50,304,4.914821951108706,4.239072150865167,-1.1733913558436202,5.412463506708787,2.887487233052276,0.008333333333333333,0.5953947368421053
34,hma,8,21,284,4.401386644279599,3.6877403241187903,-0.9229894158040702,4.610729739922861,2.133728341244115,0.016666666666666666,0.5845070422535211
34,hma,8,34,286,4.515989185665692,3.802343538635438,-0.5600841644092961,4.362427703044734,2.047182306806043,0.008333333333333333,0.5874125874125874
34,hma,8,50,286,4.515989185665692,3.802343538635438,-0.5600841644092961,4.362427703044734,2.047182306806043,0.008333333333333333,0.5874125874125874
34,hma,13,21,271,4.745668348008635,3.985655230201736,-1.2095926528530943,5.19524788305483,2.5475136757938603,0.0,0.5830258302583026
34,hma,13,34,275,4.890276999204342,4.1325000717474225,-0.6876214481921941,4.820121519939617,2.101317120417981,0.008333333333333333,0.5890909090909091
34,hma,13,50,275,4.890276999204342,4.1325000717474225,-0.6876214481921941,4.820121519939617,2.101317120417981,0.008333333333333333,0.5890909090909091
34,hma,21,34,263,4.743215674577577,3.975532575525667,-0.8723134512497352,4.847846026775402,2.2911883091762126,0.008333333333333333,0.5855513307984791
34,hma,21,50,263,4.743215674577577,3.975532575525667,-0.8723134512497352,4.847846026775402,2.2911883091762126,0.008333333333333333,0.5855513307984791
50,ema,5,21,299,5.69437514052498,5.322969604855523,-0.8485949845925518,6.171564589448074,2.9179160821160335,0.0,0.6153846153846154
50,ema,5,34,299,5.69437514052498,5.322969604855523,-0.8485949845925518,6.171564589448074,2.9179160821160335,0.0,0.6153846153846154
50,ema,5,50,299,5.69437514052498,5.322969604855523,-0.8485949845925518,6.171564589448074,2.9179160821160335,0.0,0.6153846153846154
50,ema,8,21,281,5.338381498150571,4.947901174514326,-0.49384015701897,5.441741331533296,2.6134669851052656,0.0,0.608540925266904
50,ema,8,34,281,5.338381498150571,4.947901174514326,-0.49384015701897,5.441741331533296,2.6134669851052656,0.0,0.608540925266904
50,ema,8,50,281,5.338381498150571,4.947901174514326,-0.49384015701897,5.441741331533296,2.6134669851052656,0.0,0.608540925266904
50,ema,13,21,267,5.810927202182342,5.389058397156934,-0.7905285792045755,6.179586976361509,2.810872422257754,0.0,0.6104868913857678
50,ema,13,34,269,5.83155581906527,5.409113547906221,-1.0684189997254967,6.477532547631718,3.588429646350619,0.0,0.6133828996282528
50,ema,13,50,269,5.83155581906527,5.409113547906221,-1.0684189997254967,6.477532547631718,3.588429646350619,0.0,0.6133828996282528
50,ema,21,34,251,5.12770192791932,4.714733916199065,-0.9881796382133193,5.702913554412384,2.5883748872401906,0.0,0.601593625498008
50,ema,21,50,251,5.12770192791932,4.714733916199065,-0.9881796382133193,5.702913554412384,2.5883748872401906,0.0,0.601593625498008
50,sma,5,21,309,5.773282293507144,5.394996678085887,-0.6957080164438789,6.090704694529766,3.301557247867743,0.0,0.6051779935275081
50,sma,5,34,309,5.773282293507144,5.394996678085887,-0.6957080164438789,6.090704694529766,3.301557247867743,0.0,0.6051779935275081
50,sma,5,50,309,5.773282293507144,5.394996678085887,-0.6957080164438789,6.090704694529766,3.301557247867743,0.0,0.6051779935275081
50,sma,8,21,291,5.434402964457211,5.037272480121182,-0.8472458284865719,5.8845183086077535,2.7269640235552086,0.0,0.5979381443298969
50,sma,8,34,291,5.434402964457211,5.037272480121182,-0.8472458284865719,5.8845183086077535,2.7269640235552086,0.0,0.5979381443298969
50,sma,8,50,291,5.434402964457211,5.037272480121182,-0.8472458284865719,5.8845183086077535,2.7269640235552086,0.0,0.5979381443298969
