,trend gate (close vs EMA89),pullback depth >= 1.15 ATR,touch of fast/slow EMA,StochRSI reset (20/80),StochRSI %K/%D cross,session window
trend gate (close vs EMA89),1.0,-0.1806969382016253,-0.3296696408643417,-0.0846878652750239,0.0017469717778051668,-0.00445197859196844
pullback depth >= 1.15 ATR,-0.1806969382016253,1.0,0.5213998304708906,0.25220971286192473,0.03285557975368977,0.15279169256864428
touch of fast/slow EMA,-0.3296696408643417,0.5213998304708906,1.0,0.282010575395662,0.04477127997552328,-0.0008831293116145488
StochRSI reset (20/80),-0.0846878652750239,0.25220971286192473,0.282010575395662,1.0,0.03792919532764862,0.019223280787577138
StochRSI %K/%D cross,0.0017469717778051668,0.03285557975368977,0.04477127997552328,0.03792919532764862,1.0,0.0024095128686779984
session window,-0.00445197859196844,0.15279169256864428,-0.0008831293116145488,0.019223280787577138,0.0024095128686779984,1.0
