window,n,bc_exp,bc_gross,bc_usd,ib_exp,ib_usd
as configured: 06:00-11:30 Chicago = 07:01-12:30 NY,1228,-1.3088423877062936,0.44710801781311127,-16072.58452103328,2.7496296404061615,33875.4371698039
07:00-11:00 NEW YORK = 06:00-10:00 Chicago,954,-1.7607636006069545,-0.030367182249404892,-16797.68474979035,2.239343528557428,21430.51756829458
09:30-11:00 NEW YORK = 08:30-10:00 Chicago (RTH only),299,1.250320502074726,3.1992941730859212,3738.4583012034323,7.686352767067797,23059.058301203397
08:30-11:30 Chicago (US cash open onward),574,0.7535830008223019,2.659798022610924,4325.566424720016,6.139928089838927,35365.98579747222
full RTH 08:30-15:00 Chicago,1339,-0.02006806365930475,1.7874993970584407,-268.71137239809286,4.579948511931109,61554.50800035411
