,trend gate (close vs EMA89),pullback depth >= 1.15 ATR,touch of fast/slow EMA,StochRSI reset (20/80),StochRSI %K/%D cross,session window
trend gate (close vs EMA89),1.0,-0.17615864540229254,-0.3198768297235229,-0.07718708408260828,0.00397902551237264,-0.005892587349626292
pullback depth >= 1.15 ATR,-0.17615864540229254,1.0,0.5343854313706459,0.25960138826767487,0.029498965092908162,0.16273872834286912
touch of fast/slow EMA,-0.3198768297235229,0.5343854313706459,1.0,0.2900387874282042,0.04233007258637346,0.0030245220963594248
StochRSI reset (20/80),-0.07718708408260828,0.25960138826767487,0.2900387874282042,1.0,0.034145133995578426,0.021781964315587345
StochRSI %K/%D cross,0.00397902551237264,0.029498965092908162,0.04233007258637346,0.034145133995578426,1.0,0.003040453684824255
session window,-0.005892587349626292,0.16273872834286912,0.0030245220963594248,0.021781964315587345,0.003040453684824255,1.0
