n,pts,sd,t,mde,pf,win,total,dd,ret_dd,sharpe,per_yr,ratio,n_need,yrs_need,block,ch,arm
1336,-1.0175449101796392,68.85004508985006,-0.5401975203401855,5.2779969010739824,0.9650851694927226,0.37050898203592814,-1359.439999999998,3947.8699999999817,-0.3443477115507867,-0.19725806523075723,216.39645232815965,-0.1927899787081319,,,A research,10,base
511,3.379275929549906,71.6834149280655,1.0656520345076492,8.885387394745194,1.123871618442044,0.3972602739726027,1726.810000000002,1319.7699999999963,1.3084173757548716,0.3953007900574207,82.76840354767184,0.3803183563553352,3532.859167133325,42.68366931951897,A research,10,+adx<=20
746,1.8882841823056316,67.24389434326355,0.7669797748421584,6.898450848862661,1.0702281445024866,0.40214477211796246,1408.6600000000012,1612.9399999999996,0.8733492876362429,0.28089968436786167,120.83215077605321,0.2737258297081222,9956.513014262928,82.39953481185681,A research,10,+ema align
1158,0.9077547495682227,69.3751822731912,0.4452651164921407,5.712391817999189,1.032217785585822,0.38860103626943004,1051.1800000000019,2523.8499999999894,0.4164986033242888,0.16465354634144289,187.56518847006652,0.15890974892653129,45857.193966757804,244.4867000151051,A research,15,base
447,4.904630872483223,72.83894124190964,1.4236278147441899,9.653348692942906,1.1819504418109978,0.4116331096196868,2192.3700000000003,1197.659999999999,1.8305445618956986,0.5336862647625923,72.40210643015521,0.5080755941271198,1731.6130724532077,23.916611792554107,A research,15,+adx<=20
695,2.722949640287772,67.78735274589009,1.0589692212549555,7.204841027432868,1.1024065775710412,0.40575539568345326,1892.4500000000014,1331.3000000000002,1.421505295575754,0.3886018616667464,112.57150776053214,0.3779333409189706,4865.801537418514,43.22409492612727,A research,15,+ema align
1054,0.9557305502846313,68.71107017133899,0.45157413775314836,5.930270974378595,1.0343687915241797,0.3956356736242884,1007.3400000000014,2171.4099999999994,0.4639105466033599,0.16593516647938164,170.719955654102,0.1611613625100458,40580.62673551137,237.70288938999212,A research,20,base
400,6.260000000000002,73.23935080450717,1.7094635414531172,10.260833047711454,1.2362618543724953,0.4275,2504.0000000000005,1116.7900000000002,2.2421404203117863,0.6405152483782106,64.78935698447893,0.6100869170068227,1074.6735685064407,16.587192997823575,A research,20,+adx<=20
668,2.7938323353293435,67.35899599098383,1.0719955079252637,7.30256623812139,1.1056426564745667,0.4116766467065868,1866.2800000000013,1225.85,1.5224374923522466,0.39075075821611954,108.19822616407983,0.3825822654979527,4563.801989866248,42.18000748871206,A research,20,+ema align
928,0.8446982758620704,69.15715544785786,0.37208183999009353,6.361085961702773,1.030049673888126,0.3900862068965517,783.8800000000012,2374.5499999999915,0.3301172853803896,0.13639023716343493,150.31130820399113,0.1327915203390769,52626.83956509043,350.1189643940113,A research,30,base
337,3.0601483679525234,72.72761238110662,0.7724281695963653,11.100754820326687,1.1102422556651395,0.40059347181008903,1031.2700000000004,1425.359999999999,0.7235154627602859,0.2898121217071596,54.585033259423504,0.2756702960729355,4434.5540795678035,81.2412087117713,A research,30,+adx<=20
639,1.4408294209702666,66.82792321166608,0.5450107042938179,7.407568339028826,1.0535763021068223,0.3974960876369327,920.6900000000003,1700.0699999999993,0.5415600534095659,0.19828724582070165,103.5009977827051,0.19450774600064877,16889.899126747117,163.1858579972975,A research,30,+ema align
