block,ch,arm,n,keep,pts,base,null_med,p,mde,pf
A research,10,+adx<=20,511,0.3424517882932631,3.379275929549906,-1.0175449101796392,-2.0877097390505197,0.0,8.885387394745194,1.123871618442044
A research,10,+ema align,746,0.5710644805029309,1.8882841823056316,-1.0175449101796392,-1.7715912896948565,0.0025,6.898450848862661,1.0702281445024866
A research,15,+adx<=20,447,0.327465888969899,4.904630872483223,0.9077547495682227,-0.2382868821999242,0.005,9.653348692942906,1.1819504418109978
A research,15,+ema align,695,0.6189980210394751,2.722949640287772,0.9077547495682227,0.6106852648347774,0.03,7.204841027432868,1.1024065775710412
A research,20,+adx<=20,400,0.31513706793802143,6.260000000000002,0.9557305502846313,0.40699928777598765,0.0075,10.260833047711454,1.2362618543724953
A research,20,+ema align,668,0.6647199046483909,2.7938323353293435,0.9557305502846313,0.9966468970259597,0.0525,7.30256623812139,1.1056426564745667
A research,30,+adx<=20,337,0.28322128450865397,3.0601483679525234,0.8446982758620704,0.5983167907361467,0.2,11.100754820326687,1.1102422556651395
A research,30,+ema align,639,0.7309397797167787,1.4408294209702666,0.8446982758620704,0.7800549807210473,0.275,7.407568339028826,1.0535763021068223
A research,40,+adx<=20,312,0.24995936941329433,2.3574358974358987,1.4645248868778291,0.8938811454131572,0.3125,11.318227594263362,1.085990329127657
A research,40,+ema align,630,0.7817324882171298,1.8671428571428585,1.4645248868778291,1.3369723151065331,0.3,7.479189596410641,1.0697673177215392
A research,55,+adx<=20,254,0.21379181461409083,3.2454330708661425,1.5466834170854284,0.9537031484257884,0.2325,12.426926256527521,1.1232158631791826
A research,55,+ema align,603,0.8461969725284993,2.6320563847429543,1.5466834170854284,1.6018847842443997,0.115,7.5994772928131535,1.1011622830081045
B holdout,10,+adx<=20,199,0.33095818488655543,2.7944221105527793,-3.043215434083588,-2.085250120250106,0.065,15.763631733911723,1.0863967360991356
B holdout,10,+ema align,331,0.5527845490343146,0.25531722054383066,-3.043215434083588,-2.117509414361761,0.11,12.055930985574761,1.007704411689629
B holdout,15,+adx<=20,178,0.31980742778541954,4.35719101123594,-0.44326086956519833,-0.9557297499066697,0.065,16.791931773132386,1.1365258245714092
B holdout,15,+ema align,318,0.6054562127464466,2.1706918238993986,-0.44326086956519833,-0.4022572815533606,0.0725,12.440939338758053,1.0667048695095902
B holdout,20,+adx<=20,157,0.3047619047619048,4.59598726114649,-1.6010236220472271,-1.0848523879474041,0.035,17.958481636703482,1.1446736587155666
B holdout,20,+ema align,310,0.6505291005291005,1.1261290322580915,-1.6010236220472271,-1.3933983105912806,0.1025,12.482074957347173,1.034522963061122
B holdout,30,+adx<=20,147,0.2779007271577616,2.7338095238095232,-5.048064516129,-4.263789878987891,0.05,18.427568458647148,1.0843534587709796
B holdout,30,+ema align,304,0.7066076509642745,0.8646052631579192,-5.048064516129,-4.347935397935344,0.0025,12.545352512694997,1.0265415860930334
B holdout,40,+adx<=20,139,0.2335659199412413,3.5625179856115134,-4.8895584988962115,-4.460409168233497,0.04,19.10625524765587,1.1099769692204846
B holdout,40,+ema align,301,0.7521116415717958,0.35119601328906275,-4.8895584988962115,-4.374321798667594,0.0,12.595577972407536,1.010678144501933
B holdout,55,+adx<=20,127,0.19336534264513314,6.454094488188979,-4.9202325581394835,-4.397272727272666,0.0325,20.260343993678017,1.205959138342165
B holdout,55,+ema align,294,0.7992143168921868,1.1756462585034335,-4.9202325581394835,-4.432215265354771,0.0,12.775021263354263,1.036100736135831
C forward ISO,10,+adx<=20,94,0.3380281690140845,3.6578723404255182,0.5906962025316091,1.6947023494081659,0.345,25.175903784185675,1.1020948082604625
C forward ISO,10,+ema align,188,0.5364540182270091,3.137127659574368,0.5906962025316091,1.3554340003509928,0.34,17.479434461352913,1.0878891289769734
C forward ISO,15,+adx<=20,83,0.32498748122183274,3.84373493975902,2.731951219512158,3.5875686783473375,0.4825,26.709876949689605,1.1081629954602932
C forward ISO,15,+ema align,178,0.5788683024536805,5.127415730336974,2.731951219512158,2.7955102144012995,0.2625,18.128767493367413,1.1462653989092726
C forward ISO,20,+adx<=20,77,0.3087056128293242,5.620389610389592,4.612554744525507,5.427926026775555,0.485,27.937214675561588,1.160995952501413
C forward ISO,20,+ema align,175,0.6174112256586484,6.11171428571418,4.612554744525507,4.887347734773408,0.355,18.369975149646784,1.175825494573416
C forward ISO,30,+adx<=20,70,0.26869806094182824,-2.8742857142857305,4.586264591439622,5.492989898989842,0.8775,27.61214771053613,0.922121153473969
C forward ISO,30,+ema align,173,0.675207756232687,5.673583815028758,4.586264591439622,4.2568899343814905,0.355,18.364318632681606,1.162754757715894
C forward ISO,40,+adx<=20,65,0.23627684964200477,0.44999999999998064,3.9972950819671804,5.773863636363608,0.75,29.407409470383868,1.012430675081277
C forward ISO,40,+ema align,168,0.7271280827366746,6.2082142857141385,3.9972950819671804,3.83140961216328,0.2275,18.661813172643367,1.179157856042266
C forward ISO,55,+adx<=20,61,0.21340887629839472,-1.968688524590186,3.0365217391303987,5.994526604068636,0.8275,29.52127684813754,0.9455860297149481
C forward ISO,55,+ema align,166,0.7969782813975449,6.9130120481926225,3.0365217391303987,3.0967684192104747,0.0775,18.834701726275593,1.200728005471406
