block,reading,n,lift,base,pts,delta,null_med,p,mde,pf,total,sharpe
A research,A ema13>34>89,668,0.6647199046483909,0.9557305502846313,2.7938323353293435,1.8381017850447123,0.8332485141285748,0.0525,7.30256623812139,1.1056426564745667,1866.2800000000013,0.39075075821611954
A research,B ema13>ema34,913,0.867222884386174,0.9557305502846313,1.7921467688937573,0.8364162186091261,0.9465815852550659,0.13,6.378134250985309,1.0653136350191539,1636.2300000000005,0.28993199894286154
A research,C ema34>ema89,697,0.6810488676996425,0.9557305502846313,2.5120086083213784,1.5562780580367472,0.7760342297486751,0.08,7.174440541781683,1.0941694002561213,1750.8700000000008,0.3581239928036478
A research,D close>ema89,1011,0.9151370679380214,0.9557305502846313,1.7733036597428302,0.8175731094581989,1.0186345522402087,0.07,5.985755190131315,1.065211682166843,1792.8100000000013,0.3062927220524516
A research,E dist>=0,1011,0.9151370679380214,0.9557305502846313,1.7733036597428302,0.8175731094581989,1.0186345522402087,0.07,5.985755190131315,1.065211682166843,1792.8100000000013,0.3062927220524516
A research,F dist>=med,458,0.5,0.9557305502846313,5.1575982532751095,4.201867702990478,0.7456439646988517,0.0025,8.894916191810513,1.2006859504202445,2362.1800000000003,0.5733739882562261
A research,G dist>=1.5,838,0.7835518474374255,0.9557305502846313,1.3913842482100238,0.43565369792539255,0.9923895233829743,0.32,6.500640236930001,1.0509571454418796,1165.98,0.2192702322796002
B holdout,A ema13>34>89,310,0.6505291005291005,-1.6010236220472271,1.1261290322580915,2.7271526543053186,-1.2814744897959132,0.0975,12.482074957347173,1.034522963061122,349.1000000000083,0.14398589445544638
B holdout,B ema13>ema34,447,0.8605820105820106,-1.6010236220472271,-2.923557046979825,-1.322533424932598,-1.454643175735934,0.9075,10.207864782081023,0.9152596006761967,-1306.8299999999817,-0.4574337241843265
B holdout,C ema34>ema89,330,0.6735449735449736,-1.6010236220472271,2.178484848484846,3.779508470532073,-1.3032001067753607,0.03,12.070451200304607,1.0684470451803811,718.8999999999992,0.2889130760901305
B holdout,D close>ema89,485,0.8978835978835978,-1.6010236220472271,-1.3522680412370895,0.2487555808101376,-1.400878975807411,0.4725,9.72391543963054,0.9593197651915888,-655.8499999999884,-0.22203145570609814
B holdout,E dist>=0,485,0.8978835978835978,-1.6010236220472271,-1.3522680412370895,0.2487555808101376,-1.400878975807411,0.4725,9.72391543963054,0.9593197651915888,-655.8499999999884,-0.22203145570609814
B holdout,F dist>=med,208,0.4740740740740741,-1.6010236220472271,-7.839519230769246,-6.238495608722019,-1.2745879229138046,0.99,14.420638552755204,0.782887956860395,-1630.620000000003,-0.8534084897548919
B holdout,G dist>=1.5,403,0.7661375661375661,-1.6010236220472271,-2.1435980148883362,-0.5425743928411091,-1.4673874460216085,0.6875,10.779861427854534,0.937151562462487,-863.8699999999994,-0.31316949824949886
C forward ISO,A ema13>34>89,175,0.6174112256586484,4.612554744525507,6.11171428571418,1.4991595411886731,4.846560350218846,0.365,18.369975149646784,1.175825494573416,1069.5499999999815,0.7942469054446659
C forward ISO,B ema13>ema34,242,0.856815578465063,4.612554744525507,2.177768595041283,-2.4347861494842244,4.718987168184911,0.8675,15.21498002361542,1.060905199511851,527.0199999999904,0.34411785738156564
C forward ISO,C ema34>ema89,185,0.6426116838487973,4.612554744525507,5.909999999999923,1.2974452554744156,4.549549910873351,0.3225,17.788049700967882,1.170416287392294,1093.3499999999858,0.7895047397713372
C forward ISO,D close>ema89,264,0.8911798396334479,4.612554744525507,5.175151515151473,0.5625967706259658,4.762616902616881,0.415,14.683831696158602,1.1499429855801238,1366.2399999999889,0.8446512010041927
C forward ISO,E dist>=0,264,0.8911798396334479,4.612554744525507,5.175151515151473,0.5625967706259658,4.762616902616881,0.415,14.683831696158602,1.1499429855801238,1366.2399999999889,0.8446512010041927
C forward ISO,F dist>=med,106,0.44501718213058417,4.612554744525507,8.860943396226352,4.248388651700845,4.724695177433988,0.1975,24.02710285928733,1.260550916807676,939.2599999999934,0.8303686785267056
C forward ISO,G dist>=1.5,229,0.7560137457044673,4.612554744525507,2.3955895196506263,-2.216965224874881,4.669726431486579,0.8,15.749626084627797,1.0665456870063708,548.5899999999934,0.36331141004138556
