n,pts,sd,t,mde,pf,win,total,dd,ret_dd,sharpe,arm,block
1054,0.9557305502846313,68.71107017133899,0.45157413775314836,5.930270974378595,1.0343687915241797,0.3956356736242884,1007.3400000000014,2171.4099999999994,0.4639105466033599,0.18181281071385327,base,A_research
508,-1.6010236220472271,76.50489920329255,-0.4716722744255611,9.51098555546817,0.9521292061754338,0.3110236220472441,-813.3199999999914,3085.469999999984,-0.26359679400544994,-0.29728854801936344,base,B_holdout
274,4.612554744525507,84.65653096606081,0.9018957636481706,14.330235172500787,1.1333479640758983,0.3284671532846715,1263.839999999989,1215.9300000000085,1.0394019392563554,0.841101071401413,base,C_forward
400,6.260000000000002,73.23935080450717,1.7094635414531172,10.260833047711454,1.2362618543724953,0.4275,2504.0000000000005,1116.7900000000002,2.2421404203117863,0.7019104852384058,+adx<=20,A_research
157,4.59598726114649,80.30661311546369,0.7170960533440948,17.958481636703482,1.1446736587155666,0.34394904458598724,721.5699999999989,1081.4600000000053,0.6672183899543167,0.46026755677729814,+adx<=20,B_holdout
76,6.382368421052614,87.81415314732844,0.6336131015495642,28.22447369231127,1.1840283178857187,0.32894736842105265,485.05999999999864,418.32000000000005,1.1595429336393157,0.5820962080804715,+adx<=20,C_forward
668,2.7938323353293435,67.35899599098383,1.0719955079252637,7.30256623812139,1.1056426564745667,0.4116766467065868,1866.2800000000013,1225.85,1.5224374923522466,0.42816141182176926,+ema align,A_research
310,1.1261290322580915,78.43312199411558,0.2527955936148132,12.482074957347173,1.034522963061122,0.3258064516129032,349.1000000000083,1540.9699999999887,0.22654561737088386,0.158010183223435,+ema align,B_holdout
173,6.786878612716656,87.00054154851668,1.0260562668366573,18.533909384386078,1.1963940425930477,0.32947976878612717,1174.1299999999815,830.1900000000087,1.4142907045374784,0.962458343063359,+ema align,C_forward
697,2.5120086083213784,67.5983816585593,0.98107275118187,7.174440541781683,1.0941694002561213,0.40746054519368724,1750.8700000000008,1038.6499999999983,1.6857170365378171,0.3924071261326365,+slow 34>89,A_research
330,2.178484848484846,78.25504464822,0.5057072386242277,12.070451200304607,1.0684470451803811,0.33636363636363636,718.8999999999992,1237.429999999999,0.5809621554350548,0.31706142033952667,+slow 34>89,B_holdout
183,6.5460655737704165,86.6029211105191,1.022523635183757,17.93804573955737,1.1898107802344386,0.3333333333333333,1197.9299999999862,982.4100000000026,1.2193788744006913,0.9546238089067718,+slow 34>89,C_forward
