,base,+adx<=20,+ema align,+slow 34>89,always-long
base,1.0,0.6227788279242583,0.7606616564474907,0.7875430280694932,0.3732844015742731
+adx<=20,0.6227788279242583,1.0,0.43209077264312645,0.4607750945970947,0.24197656502843917
+ema align,0.7606616564474907,0.43209077264312645,1.0,0.9678438899524784,0.304940283615336
+slow 34>89,0.7875430280694932,0.4607750945970947,0.9678438899524784,1.0,0.31625579968390105
always-long,0.3732844015742731,0.24197656502843917,0.304940283615336,0.31625579968390105,1.0
