year,base,base n,+adx<=20,+adx<=20 n,+ema align,+ema align n,+slow 34>89,+slow 34>89 n
2018,-549.8799999999998,172,233.9900000000001,69,421.87,97,680.5800000000002,98
2019,663.9200000000005,152,76.76000000000003,56,141.13000000000005,103,313.26000000000016,106
2020,-1684.75,175,746.8600000000001,66,-729.4499999999998,105,-718.6099999999998,109
2021,2404.8,180,1025.4100000000003,71,1777.4900000000002,119,1403.4600000000003,126
2022,57.770000000000664,187,803.7300000000005,63,167.49000000000024,119,34.88000000000036,128
2023,-907.9099999999996,179,-129.23999999999978,56,-484.89999999999975,110,-439.21999999999974,118
2024,-1562.859999999994,224,-236.79000000000423,71,-588.5699999999925,133,-359.87000000000086,143
2025,1657.450000000002,105,1087.600000000003,30,1422.5700000000004,67,1517.9900000000005,69
