stop_atr,target_R,want_pf,need_win,driftless,lift_needed
1.0,1.0,1.5,0.6532851128446221,0.5,0.1532851128446221
1.0,2.0,1.5,0.4696111859648771,0.3333333333333333,0.1362778526315438
1.0,1.0,2.0,0.7152851120737664,0.5,0.21528511207376644
1.0,2.0,2.0,0.541399206763603,0.3333333333333333,0.20806587343026967
1.5,1.0,1.5,0.635788267153888,0.5,0.13578826715388803
1.5,2.0,1.5,0.4560775987942716,0.3333333333333333,0.1227442654609383
1.5,1.0,2.0,0.6994777698114814,0.5,0.19947776981148135
1.5,2.0,2.0,0.5278557390648685,0.3333333333333333,0.19452240573153518
3.0,1.0,1.5,0.6180285524627639,0.5,0.11802855246276389
3.0,2.0,1.5,0.442398466516622,0.3333333333333333,0.1090651331832887
3.0,1.0,2.0,0.6832765894476721,0.5,0.1832765894476721
3.0,2.0,2.0,0.5140584052888996,0.3333333333333333,0.18072507195556625
