,S1 opening drive,S2 level reclaim,S3 flow exhaustion,S4 stretch fade,S5 range expansion
S1 opening drive,1.0,0.034622004421500464,0.0364440495834689,-0.052081929321499645,0.13928500425388762
S2 level reclaim,0.034622004421500464,1.0,0.040183156394597054,-0.04038462300609969,0.058275120307619055
S3 flow exhaustion,0.0364440495834689,0.040183156394597054,1.0,0.03407430849518789,-0.010629867758583433
S4 stretch fade,-0.052081929321499645,-0.04038462300609969,0.03407430849518789,1.0,-0.01666667173577638
S5 range expansion,0.13928500425388762,0.058275120307619055,-0.010629867758583433,-0.01666667173577638,1.0
