book,block,legs,trades,per_yr,pts_per_day,sharpe,pf,dd,ret_dd,total
ALL FIVE,research,5,1610,816.338028169014,-3.3612284689779917,-0.4644351890532462,0.9150732284529343,3610.934313684458,-0.4626311098352595,-1670.530549082062
ALL FIVE,LOCKED,5,832,779.4200743494424,12.901817460241588,1.1595579825887088,1.2560757536540355,1417.7278599944598,2.4479937192026044,3470.588896804987
RESEARCH-POSITIVE,research,2,806,408.67605633802816,2.3909509774389033,0.5934710236894584,1.1145670723551062,1155.6200244667282,1.0282814511936902,1188.302635787135
RESEARCH-POSITIVE,LOCKED,2,410,384.08921933085503,9.091588067795099,1.6001315303285841,1.3531245350308863,799.0091903034188,3.060837371980873,2445.6371902368815
BEST LEG ALONE,research,1,380,192.67605633802816,1.766062314489494,0.5505298690104634,1.1331713087754827,718.1901207392008,1.2221457034216336,877.7329703012786
BEST LEG ALONE,LOCKED,1,179,167.68773234200745,7.593281240492502,1.7513367788713232,1.50708683640391,873.9440798680882,2.3372120719677953,2042.5926536924828
