tf,design,stop,tgt,be,be_off,arm,tr,n,R,pts,pf,win,sharpe,p_flat
3,S1 opening drive,1.0,0.0,0.0,0.0,0.0,0.0,803,-0.20340890297802794,-2.1324679842526355,0.8304108070090368,0.0660024906600249,-1.281801037765051,0.0660024906600249
3,S1 opening drive,1.0,0.0,0.0,0.0,1.0,1.0,915,-0.3305434340023107,-2.1524533487611737,0.5304210877642502,0.3519125683060109,-3.7172693223081845,0.0
3,S1 opening drive,1.0,0.0,1.0,0.25,0.0,0.0,902,-0.2492589496783239,-1.8730478171985618,0.6473683398857035,0.2039911308203991,-1.7540270690099389,0.028824833702882482
3,S1 opening drive,1.0,0.0,1.0,0.25,1.0,1.0,916,-0.3295325924548103,-2.1391612914306166,0.5241086297624193,0.3799126637554585,-3.7143484680748196,0.0
3,S1 opening drive,1.0,1.0,0.0,0.0,0.0,0.0,1019,-0.3463581803497266,-2.3607660331197686,0.4936946611748217,0.4681059862610402,-6.069676660548533,0.0
3,S1 opening drive,1.0,1.0,0.0,0.0,1.0,1.0,1019,-0.3463581803497266,-2.3607660331197686,0.4936946611748217,0.4681059862610402,-6.069676660548533,0.0
3,S1 opening drive,1.0,1.0,1.0,0.25,0.0,0.0,1019,-0.3463581803497266,-2.3607660331197686,0.4936946611748217,0.4681059862610402,-6.069676660548533,0.0
3,S1 opening drive,1.0,1.0,1.0,0.25,1.0,1.0,1019,-0.3463581803497266,-2.3607660331197686,0.4936946611748217,0.4681059862610402,-6.069676660548533,0.0
3,S1 opening drive,1.0,1.5,0.0,0.0,0.0,0.0,931,-0.334749200365007,-2.307736283915088,0.5798555628457954,0.3791621911922664,-4.3708994813257185,0.0
3,S1 opening drive,1.0,1.5,0.0,0.0,1.0,1.0,951,-0.34263152208704395,-2.3005304873131314,0.5112870966473241,0.3501577287066246,-4.829016580924008,0.0
3,S1 opening drive,1.0,1.5,1.0,0.25,0.0,0.0,952,-0.3361576219089938,-2.247283303411042,0.5133366708414053,0.36869747899159666,-4.749798329510252,0.0
3,S1 opening drive,1.0,1.5,1.0,0.25,1.0,1.0,952,-0.34103667104951785,-2.2893504930645334,0.505114514316789,0.38130252100840334,-4.839048331918901,0.0
3,S1 opening drive,1.0,2.0,0.0,0.0,0.0,0.0,890,-0.3833289666674314,-2.7817187865168114,0.573336410943514,0.3,-4.928251963431704,0.0
3,S1 opening drive,1.0,2.0,0.0,0.0,1.0,1.0,929,-0.34701085273433024,-2.32528315005199,0.5076002889999808,0.3519913885898816,-4.726921787644056,0.0
3,S1 opening drive,1.0,2.0,1.0,0.25,0.0,0.0,930,-0.34269472185322336,-2.337358556625223,0.5096015880082068,0.3139784946236559,-4.850793616215107,0.0
3,S1 opening drive,1.0,2.0,1.0,0.25,1.0,1.0,930,-0.34574734887253683,-2.311853116061478,0.5012583775361581,0.3795698924731183,-4.727243082674984,0.0
3,S1 opening drive,1.0,3.0,0.0,0.0,0.0,0.0,830,-0.3678839192368791,-2.561192593995741,0.6285110801057046,0.2289156626506024,-3.5388151550923395,0.0
3,S1 opening drive,1.0,3.0,0.0,0.0,1.0,1.0,915,-0.3446362936983074,-2.265705761278946,0.5104003914030848,0.3519125683060109,-4.159646977536113,0.0
