block,n,obs,ctl,p
A_primary,400,0.05634374567924774,0.0053337689283865265,0.0025
B_meta,265,0.10177015860190086,0.03980318303534954,0.0025
C_locked,150,0.22330634881998226,0.17653598362193018,0.11
