block,base_n,base,sub_n,sub,veto_n,veto,extra_n,extra
A_primary,844,0.029227615080924467,318,0.10915145072548255,400,0.05634374567924774,82,-0.1484471104756628
B_meta,566,0.02125486499586542,211,0.10780398117880807,265,0.10177015860190086,56,0.06206214007731906
C_locked,319,0.17854694391623963,116,0.3406813667377643,150,0.22330634881998226,34,-0.17714959466421518
