thresh,block,n,per_yr,pts,usd,PF,win,sharpe
0.3,research,993,503.49295774647885,-1.4383029029830288,-2.8766058059660575,0.9563082475787064,0.486404833836858,-0.37968476594689676
0.3,LOCKED,426,400.56716417910445,9.502983126233303,19.005966252466607,1.2044446407467595,0.5610328638497653,1.2252344537933961
0.5,research,722,366.0845070422535,2.632828664921237,5.265657329842474,1.078278062859901,0.48753462603878117,0.5740255827216931
0.5,LOCKED,315,296.1940298507463,4.056187262635928,8.112374525271855,1.0758423393362044,0.5142857142857142,0.4605577379378037
0.7,research,479,242.8732394366197,1.2871789097210231,2.5743578194420462,1.0369911335198225,0.5135699373695198,0.2262006914892113
0.7,LOCKED,232,218.1492537313433,15.227785869861197,30.455571739722394,1.2870118582053218,0.5344827586206896,1.2481646992357773
0.85,research,278,140.95774647887322,-2.8246798943574603,-5.6493597887149205,0.9279364929870744,0.460431654676259,-0.39357117656256196
0.85,LOCKED,156,146.6865671641791,23.18120371273718,46.36240742547436,1.427441621303219,0.5448717948717948,1.491855719889282
0.95,research,119,60.33802816901408,4.166542815074878,8.333085630149755,1.1159176985435413,0.5126050420168067,0.35382143681977085
0.95,LOCKED,83,78.04477611940298,32.53274048724641,65.06548097449281,1.6061162373134454,0.6265060240963856,1.4344657201209106
