thresh,block,n,per_yr,pts,usd,PF,win,sharpe,total
0.2,research,420,212.95774647887322,-4.939807664944902,-9.879615329889804,0.8301836922215252,0.45714285714285713,-1.1004358103266507,-4149.438438553718
0.2,LOCKED,105,98.73134328358209,15.201970644780607,30.403941289561214,1.387838773186981,0.5428571428571428,1.2272599563372688,3192.4138354039274
0.3,research,59,29.915492957746476,-7.053448321484666,-14.106896642969332,0.7082850121854731,0.4406779661016949,-0.7707737233438057,-832.3069019351906
