k,fitted,alpha,delta,eps_b,eps_s,mu,PIN,mu_over_eps
0.75,735,0.40075103000950235,0.4981029491017776,185.6690144201983,177.96612698681813,8.183927057226606,0.009414664999627707,0.022534886586122373
1.0,735,0.27498104065392914,0.5156464729486504,186.4736893545224,178.73492187997041,5.3985496998260425,0.004312106979761979,0.014793057558495354
1.5,686,0.11119367031870056,0.6251611519447225,187.457461149956,178.8643243470001,2.3549422451619444,0.0007609875756830969,0.0064314868307871614
2.0,210,0.0642063492063492,0.6614491857349,187.9784578441947,178.92488566611505,1.3687185191256925,0.0002461932182488971,0.003730095467306231
