filters,bars,n,win,pf,usd,ctl_win,ctl_pf,p_win,p_pf,spec
orb_pos:top,6496,430,0.5906976744186047,1.062526959414802,3.00951823823153,0.5591153470185728,0.9492092890880985,0.0,0.0,"[('orb_pos', np.float64(1.1666666666666667), inf)]"
pdl_dist:top,6482,452,0.577433628318584,1.074061429221652,2.914419975692994,0.5585106382978723,0.9472216209979124,0.023333333333333334,0.0,"[('pdl_dist', np.float64(13.418365795290393), inf)]"
retr_from_high:bottom2,12989,994,0.5865191146881288,1.0664535802860815,3.3873194093796615,0.5608033757287489,0.9502678660515869,0.0,0.0,"[('retr_from_high', -inf, np.float64(0.32097931264597934))]"
sess_range_atr:bottom,6495,698,0.5787965616045845,0.9828978779365284,-0.9811446027969758,0.5585865616949098,0.9469867201064213,0.013333333333333334,0.19666666666666666,"[('sess_range_atr', -inf, np.float64(4.019970729795332))]"
ret30:top2,12989,1278,0.5774647887323944,0.9965816000903008,-0.17971124620289017,0.5613475485878722,0.9538021269881771,0.01,0.07333333333333333,"[('ret30', np.float64(0.5211822831430222), inf)]"
orb_pos:top & pdl_dist:top,3342,230,0.6086956521739131,1.199272311396169,7.323593748615975,0.5576094285297762,0.943133357612671,0.0,0.0,"[('orb_pos', np.float64(1.1666666666666667), inf), ('pdl_dist', np.float64(13.418365795290393), inf)]"
orb_pos:top & retr_from_high:bottom2,6114,414,0.5845410628019324,1.0347884007961698,1.7058318635533283,0.5570963958017707,0.9427317719075325,0.0,0.0033333333333333335,"[('orb_pos', np.float64(1.1666666666666667), inf), ('retr_from_high', -inf, np.float64(0.32097931264597934))]"
orb_pos:top & ret30:top2,3970,389,0.5861182519280206,1.0673490450976684,3.225255529043433,0.5566725039850924,0.9456891483666819,0.0033333333333333335,0.01,"[('orb_pos', np.float64(1.1666666666666667), inf), ('ret30', np.float64(0.5211822831430222), inf)]"
pdl_dist:top & retr_from_high:bottom2,4853,368,0.5842391304347826,1.0561233266951648,2.2770779179789864,0.5585633143278341,0.9460383710452666,0.006666666666666667,0.01,"[('pdl_dist', np.float64(13.418365795290393), inf), ('retr_from_high', -inf, np.float64(0.32097931264597934))]"
pdl_dist:top & ret30:top2,3480,392,0.5739795918367347,1.0753559325962376,2.8929755728853253,0.5580850077701136,0.942935296976491,0.08,0.013333333333333334,"[('pdl_dist', np.float64(13.418365795290393), inf), ('ret30', np.float64(0.5211822831430222), inf)]"
retr_from_high:bottom2 & sess_range_atr:bottom,2270,418,0.6148325358851675,1.180457937017163,9.448595455018026,0.5542814724758309,0.9310709282583958,0.0,0.0,"[('retr_from_high', -inf, np.float64(0.32097931264597934)), ('sess_range_atr', -inf, np.float64(4.019970729795332))]"
retr_from_high:bottom2 & ret30:top2,8263,883,0.5877689694224235,1.081275145253031,4.106175224974489,0.5590915300546448,0.9479266651612999,0.0,0.0,"[('retr_from_high', -inf, np.float64(0.32097931264597934)), ('ret30', np.float64(0.5211822831430222), inf)]"
sess_range_atr:bottom & ret30:top2,2454,426,0.6173708920187794,1.1815904453865693,9.515318054223076,0.5573770491803278,0.9445378461350924,0.0,0.0,"[('sess_range_atr', -inf, np.float64(4.019970729795332)), ('ret30', np.float64(0.5211822831430222), inf)]"
