n,fill,win,pf,usd,per_sig,stop_share,tgt_share,flat_share,side,lim,stop,tp,expiry,base
8633,0.3799401461138984,0.6602571527858219,0.734711712747339,-4.529737523721771,-1.7210291366204582,0.3383528321556817,0.6615313332561102,0.00011583458820803892,1,0.5,1.0,0.5,1,0.6666666666666666
6019,0.5980723370429253,0.6609071274298056,0.7461865197853886,-4.312698797873026,-2.5793058490061345,0.33743146702109983,0.6624023924239907,0.0001661405549094534,1,0.5,1.0,0.5,3,0.6666666666666666
7280,0.3759359669506842,0.5664835164835165,0.7771631834117049,-4.919947597261052,-1.849585257323029,0.4331043956043956,0.5664835164835165,0.0004120879120879121,1,0.5,1.0,0.75,1,0.5714285714285714
5565,0.5952508289656647,0.5728661275831087,0.7951712736481193,-4.470335172324436,-2.660970717080488,0.42677448337825696,0.5728661275831087,0.00035938903863432165,1,0.5,1.0,0.75,3,0.5714285714285714
6327,0.37340651558073656,0.4975501817607081,0.8174103199743313,-4.704778659808411,-1.756795005937666,0.5019756598703967,0.4973921289710763,0.000632211158526948,1,0.5,1.0,1.0,1,0.5
5015,0.5870303172187756,0.49690927218344966,0.8118567297289118,-4.868046297985498,-2.857690762542113,0.5024925224327019,0.4965104685942173,0.0009970089730807576,1,0.5,1.0,1.0,3,0.5
4993,0.37208435799985096,0.40196274784698577,0.8593755136246672,-4.35236278841965,-1.6194461139115666,0.5968355697977168,0.3991588223512918,0.004005607850991388,1,0.5,1.0,1.5,1,0.4
4164,0.5846672283066554,0.4010566762728146,0.8528377141517552,-4.56575746813041,-2.669448764012219,0.5977425552353506,0.3976945244956772,0.004562920268972142,1,0.5,1.0,1.5,3,0.4
6086,0.37551675202073176,0.6641472231350641,0.8078987943351928,-4.779473146136251,-1.7947722322073933,0.3347025961222478,0.6638186000657246,0.0014788038120276043,1,0.5,1.5,0.5,1,0.6666666666666666
4919,0.597110949259529,0.6680219556820493,0.8106191328873871,-4.705003833769546,-2.8094093054518567,0.3303516974994918,0.6678186623297419,0.001829640170766416,1,0.5,1.5,0.5,3,0.6666666666666666
4752,0.3692594607195586,0.5717592592592593,0.8609542962107082,-4.451103877461373,-1.643612217398123,0.4255050505050505,0.5694444444444444,0.005050505050505051,1,0.5,1.5,0.75,1,0.5714285714285714
4024,0.5815028901734104,0.5670974155069582,0.8388825337198099,-5.257470879875414,-3.0572345116500963,0.43066600397614313,0.5646123260437376,0.004721669980119284,1,0.5,1.5,0.75,3,0.5714285714285714
