n,win,pf,R,pts,sharpe,stop_share,flat_share,chan_share,tgt_share,level,side,window,flat,N,adx,gate,ema,atrx,stop,exN,tp
379,0.36675461741424803,1.0401275472634184,0.04190795009392821,0.1185849798326758,0.1613445588407637,0.5277044854881267,0.46437994722955145,0.0079155672823219,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,0.0,0.0,1.5,10,0.0
446,0.47757847533632286,0.8426455334980042,-0.0847904215482669,-0.39452508450503887,-0.9395713768783834,0.4170403587443946,0.19955156950672645,0.0,0.3834080717488789,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,0.0,0.0,1.5,10,1.0
379,0.3641160949868074,1.0394865568945753,0.04116629949660934,0.11675867144490164,0.158845465468898,0.5303430079155673,0.46965699208443273,0.0,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,0.0,0.0,1.5,20,0.0
446,0.47757847533632286,0.8426455334980042,-0.0847904215482669,-0.39452508450503887,-0.9395713768783834,0.4170403587443946,0.19955156950672645,0.0,0.3834080717488789,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,0.0,0.0,1.5,20,1.0
354,0.4350282485875706,1.0246193468776978,0.025866838940189468,0.08763392759514597,0.10090475692361982,0.3474576271186441,0.6186440677966102,0.03389830508474576,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,0.0,0.0,2.5,10,0.0
401,0.48877805486284287,0.9180921719907337,-0.023298734371539585,-0.26431283917566445,-0.4227538527940075,0.29177057356608477,0.3790523690773067,0.017456359102244388,0.3117206982543641,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,0.0,0.0,2.5,10,1.0
354,0.4322033898305085,1.0223177904173306,0.024682517346260237,0.07961779069024413,0.0915917147924401,0.3559322033898305,0.6412429378531074,0.002824858757062147,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,0.0,0.0,2.5,20,0.0
401,0.48877805486284287,0.918463942512624,-0.022800825796182023,-0.2630066511744508,-0.42031358203628083,0.2967581047381546,0.38902743142144636,0.0024937655860349127,0.3117206982543641,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,0.0,0.0,2.5,20,1.0
348,0.4540229885057471,0.9699407370649173,-0.002849963415521099,-0.11806266195134185,-0.1257184089346574,0.21551724137931033,0.6867816091954023,0.09770114942528736,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,0.0,0.0,3.5,10,0.0
377,0.46949602122015915,0.925364220131303,-0.026704208281129908,-0.2711172150804845,-0.35106126874927646,0.1883289124668435,0.5119363395225465,0.08222811671087533,0.21750663129973474,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,0.0,0.0,3.5,10,1.0
348,0.4540229885057471,0.9658954849445435,-0.005005555005318056,-0.13465845768886364,-0.14257685933990316,0.2442528735632184,0.7298850574712644,0.02586206896551724,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,0.0,0.0,3.5,20,0.0
377,0.47214854111405835,0.9254418248285178,-0.02629351358455161,-0.2711295190500992,-0.3489552386691215,0.20954907161803712,0.5490716180371353,0.023872679045092837,0.21750663129973474,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,0.0,0.0,3.5,20,1.0
360,0.36666666666666664,0.9839605653917631,0.009383312403180839,-0.0482584276199115,-0.06575606260576554,0.5194444444444445,0.475,0.005555555555555556,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,0.0,1.1,1.5,10,0.0
420,0.4738095238095238,0.8318747381791488,-0.08445648631295997,-0.42906022250815784,-0.9826423762128513,0.4119047619047619,0.20714285714285716,0.0,0.38095238095238093,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,0.0,1.1,1.5,10,1.0
360,0.3638888888888889,0.9850695467296605,0.009992196871767028,-0.044869538731023166,-0.06114919859930908,0.5194444444444445,0.48055555555555557,0.0,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,0.0,1.1,1.5,20,0.0
420,0.4738095238095238,0.8318747381791488,-0.08445648631295997,-0.42906022250815784,-0.9826423762128513,0.4119047619047619,0.20714285714285716,0.0,0.38095238095238093,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,0.0,1.1,1.5,20,1.0
337,0.4362017804154303,0.98131168086167,0.008805470811531825,-0.06727538718309538,-0.07735637347750567,0.34124629080118696,0.6261127596439169,0.032640949554896145,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,0.0,1.1,2.5,10,0.0
378,0.47883597883597884,0.8823933279295241,-0.03566206284627058,-0.3881398766021182,-0.6031439691117897,0.291005291005291,0.3941798941798942,0.018518518518518517,0.2962962962962963,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,0.0,1.1,2.5,10,1.0
337,0.4332344213649852,0.9817094471631803,0.009112562015566854,-0.0658145933087195,-0.07563757930156538,0.35014836795252224,0.6468842729970327,0.002967359050445104,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,0.0,1.1,2.5,20,0.0
378,0.47883597883597884,0.8827639630382667,-0.0351338582464865,-0.38675421155321166,-0.6004570898452001,0.2962962962962963,0.40476190476190477,0.0026455026455026454,0.2962962962962963,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,0.0,1.1,2.5,20,1.0
331,0.4561933534743202,0.9399548857914783,-0.010710648232967709,-0.23643980503294776,-0.2510402318549237,0.21450151057401812,0.6978851963746223,0.08761329305135952,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,0.0,1.1,3.5,10,0.0
355,0.4676056338028169,0.9057431876947297,-0.02878517973206635,-0.345513211079787,-0.4372645079664317,0.18873239436619718,0.5295774647887324,0.07605633802816901,0.2056338028169014,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,0.0,1.1,3.5,10,1.0
331,0.45317220543806647,0.9260071535786834,-0.016169774181928002,-0.29574072952248687,-0.3113867155569263,0.24169184290030213,0.7341389728096677,0.02416918429003021,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,0.0,1.1,3.5,20,0.0
355,0.4676056338028169,0.8951301115624102,-0.032360451890374516,-0.3889749423814394,-0.48768581362679986,0.2112676056338028,0.5605633802816902,0.022535211267605635,0.2056338028169014,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,0.0,1.1,3.5,20,1.0
253,0.3715415019762846,1.0625820610148873,0.055274817038954656,0.1835410900966217,0.20865940864833843,0.5177865612648221,0.4782608695652174,0.003952569169960474,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,2.0,0.0,1.5,10,0.0
301,0.47840531561461797,0.8621865340912552,-0.0632910614289054,-0.33855242012054687,-0.6778819488125852,0.3953488372093023,0.21926910299003322,0.0,0.3853820598006645,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,2.0,0.0,1.5,10,1.0
253,0.3715415019762846,1.0649789810263988,0.05675220969172523,0.19014188061045506,0.21622012259550777,0.5177865612648221,0.48221343873517786,0.0,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,2.0,0.0,1.5,20,0.0
301,0.47840531561461797,0.8621865340912552,-0.0632910614289054,-0.33855242012054687,-0.6778819488125852,0.3953488372093023,0.21926910299003322,0.0,0.3853820598006645,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,2.0,0.0,1.5,20,1.0
238,0.42857142857142855,1.0340712788935773,0.02038694265685569,0.1195153670484162,0.11607273644877672,0.3487394957983193,0.6302521008403361,0.02100840336134454,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,2.0,0.0,2.5,10,0.0
267,0.4868913857677903,0.9864431698894672,0.0033407459188206225,-0.0429066207366662,-0.05532628443598937,0.2846441947565543,0.37453183520599254,0.0149812734082397,0.3258426966292135,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,2.0,0.0,2.5,10,1.0
238,0.42857142857142855,1.0329966680195817,0.020009038387866527,0.11586625142520542,0.11241806470416212,0.35714285714285715,0.6428571428571429,0.0,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,2.0,0.0,2.5,20,0.0
267,0.4868913857677903,0.9871545932719811,0.003978043022092795,-0.040625705626187766,-0.05234304810769538,0.2883895131086142,0.3857677902621723,0.0,0.3258426966292135,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,2.0,0.0,2.5,20,1.0
235,0.451063829787234,1.0141182787164047,0.0008550717392247386,0.052671998441140185,0.04772419079017947,0.2,0.7106382978723405,0.08936170212765958,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,2.0,0.0,3.5,10,0.0
251,0.47410358565737054,1.0155048278806518,-0.006447292952369297,0.05337275750395178,0.05672490326785146,0.1752988047808765,0.549800796812749,0.07569721115537849,0.199203187250996,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,2.0,0.0,3.5,10,1.0
235,0.4553191489361702,1.01577848275017,-0.0008783538965314023,0.05886764607864202,0.05324733372790534,0.2297872340425532,0.7489361702127659,0.02127659574468085,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,2.0,0.0,3.5,20,0.0
251,0.47808764940239046,1.0234919027506695,-0.0047286740287398625,0.08037146473473157,0.0853898644840376,0.1952191235059761,0.5856573705179283,0.0199203187250996,0.199203187250996,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,2.0,0.0,3.5,20,1.0
241,0.3775933609958506,1.0513300037217121,0.05742870906216961,0.15049786985793948,0.16831907898844786,0.5020746887966805,0.49377593360995853,0.004149377593360996,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,2.0,1.1,1.5,10,0.0
286,0.479020979020979,0.8660688696695249,-0.05444433610859073,-0.3324392940906871,-0.6511223546960423,0.3881118881118881,0.22377622377622378,0.0,0.3881118881118881,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,2.0,1.1,1.5,10,1.0
241,0.3775933609958506,1.0538206213865287,0.05897966483458021,0.1574273304388517,0.17611799149444207,0.5020746887966805,0.4979253112033195,0.0,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,2.0,1.1,1.5,20,0.0
286,0.479020979020979,0.8660688696695249,-0.05444433610859073,-0.3324392940906871,-0.6511223546960423,0.3881118881118881,0.22377622377622378,0.0,0.3881118881118881,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,2.0,1.1,1.5,20,1.0
228,0.4342105263157895,1.014572697684023,0.018078365167937184,0.051425326052784236,0.04921097949590184,0.34210526315789475,0.6359649122807017,0.021929824561403508,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,False,2.0,1.1,2.5,10,0.0
